n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,zone,probe,vergleich
12,10,2.2900781631469727,9.449573510792106e-05,0.15231648558206662,15.034378312110176,9.99950002499875e-05,0.4265806553648945,ok,RestingChon,Pcw9.0_s2_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.23252154886722565,0.0002192992935422808,0.1199459921536839,1.9367237320946924,0.06999650017499125,0.3360680773238572,ok,RestingChon,Pcw9.0_s2_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.6596062183380127,0.00013940795233938842,0.15192538590811977,10.922906665442156,9.99950002499875e-05,0.42553048849507474,ok,RestingChon,Pcw6.1_Proximal_UpperLimb,chondrogen_vs_naiv
17,17,0.1609843373298645,0.0003738129179924726,0.11935949761047251,1.3456032207509911,0.1615919204039798,0.3345804062273155,ok,RestingChon,Pcw6.1_Proximal_UpperLimb,osteogen_vs_adipogen
12,10,1.8999948501586914,8.57885179342702e-05,0.15598586397422542,12.180007939403353,9.99950002499875e-05,0.4368462076457654,ok,RestingChon,Pcw6.1_s1_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.14500969648361206,0.00038464753311127426,0.12273280773514621,1.1783731800758392,0.2016899155042248,0.3440365091915207,ok,RestingChon,Pcw6.1_s1_Middle_UpperLimb,osteogen_vs_adipogen
12,10,1.6293702125549316,0.00040551545354537667,0.15956175434089473,10.208992147461569,9.99950002499875e-05,0.4471784276080506,ok,RestingChon,Pcw6.1_Proximal_LowerLimb,chondrogen_vs_naiv
17,17,0.2564302980899811,0.0004204924050718546,0.12487915468230949,2.050060367050001,0.05329733513324334,0.3500821255155384,ok,RestingChon,Pcw6.1_Proximal_LowerLimb,osteogen_vs_adipogen
12,10,1.922550916671753,1.4541795733384788e-05,0.15520412119535548,12.387147712760298,9.99950002499875e-05,0.43458608114272873,ok,RestingChon,Pcw6.1_s2_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.14120417833328247,0.000417963428189978,0.12209543092404694,1.153083402381148,0.20938953052347384,0.34228517001552144,ok,RestingChon,Pcw6.1_s2_Middle_UpperLimb,osteogen_vs_adipogen
12,10,1.7408649921417236,-0.00010435594187583774,0.1648837838183471,10.558766349040305,9.99950002499875e-05,0.461570238749496,ok,RestingChon,Pcw5.6_Proximal_UpperLimb,chondrogen_vs_naiv
17,17,0.21696919202804565,0.0002882668615784496,0.12973578682429318,1.6701708177091306,0.09749512524373781,0.36354846996959933,ok,RestingChon,Pcw5.6_Proximal_UpperLimb,osteogen_vs_adipogen
12,10,1.8234074115753174,0.00022794880137080327,0.1427202058469342,12.774501353573479,9.99950002499875e-05,0.3998445251727865,ok,ProlifChon,Pcw7.2_s1_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.11611997336149216,0.0001341497471323237,0.11237604456011452,1.032122318136178,0.22368881555922204,0.31478707451545296,ok,ProlifChon,Pcw7.2_s1_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.7655421495437622,0.000254454211727716,0.14212531777597068,12.420642028851063,9.99950002499875e-05,0.39820534398444557,ok,ProlifChon,Pcw7.2_s2_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.10336869955062866,0.00011856312155723572,0.11184374638797569,0.9231641442956156,0.25548722563871806,0.3132810530078891,ok,ProlifChon,Pcw7.2_s2_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.6860122680664062,0.00011760266290511936,0.14164273248453582,11.902443816434864,9.99950002499875e-05,0.3967172536196054,ok,ProlifChon,Pcw6.5_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.156927227973938,0.00013749334407038986,0.11141593116638138,1.407246997700247,0.1479926003699815,0.3121021006099382,ok,ProlifChon,Pcw6.5_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.7029950618743896,0.0005671595161547884,0.1558324334050867,10.924734120866678,9.99950002499875e-05,0.4368979730503975,ok,ProlifChon,Pcw5.4_s1_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.18701978027820587,-2.7366069378331304e-06,0.12209573220112971,1.5317694854154227,0.12389380530973451,0.34186531355622535,ok,ProlifChon,Pcw5.4_s1_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,2.1485800743103027,-0.00026037985840812326,0.1437541735884432,14.948021337597272,9.99950002499875e-05,0.4022513061892328,ok,ProlifChon,Pcw9.3_s1_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.445734441280365,-7.82830536365509e-05,0.11224386754960342,3.971822550902263,0.00199990000499975,0.314204546085253,ok,ProlifChon,Pcw9.3_s1_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,2.0076990127563477,0.00030760920245666057,0.13990315381019347,14.348435677706863,9.99950002499875e-05,0.39203643987099834,ok,ProlifChon,Pcw9.3_s2_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.2596926689147949,0.00023490352865774183,0.11001784384423764,2.358324398299201,0.03969801509924504,0.3082848662925231,ok,ProlifChon,Pcw9.3_s2_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,2.136254072189331,0.0003002254951512441,0.13037865841375576,16.38269539417828,9.99950002499875e-05,0.36536046905366737,ok,ProlifChon,Pcw9.0_s1_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.2245989888906479,4.4194032717496156e-05,0.1026328193177725,2.1879433533114017,0.05559722013899305,0.2874160881224805,ok,ProlifChon,Pcw9.0_s1_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,2.128077507019043,0.00017277593400795012,0.1319499996454058,16.126598990552736,9.99950002499875e-05,0.36963277494114416,ok,ProlifChon,Pcw9.0_s2_Thigh_LowerLimb,chondrogen_vs_naiv
17,17,0.24412870407104492,-4.0321517083793876e-05,0.1038995744053837,2.3500483710881954,0.04429778511074446,0.29087848681799056,ok,ProlifChon,Pcw9.0_s2_Thigh_LowerLimb,osteogen_vs_adipogen
12,10,1.7109473943710327,0.00038199884600471706,0.1523433146860821,11.228358783250915,9.99950002499875e-05,0.4269432799670345,ok,ProlifChon,Pcw6.1_Proximal_UpperLimb,chondrogen_vs_naiv
17,17,0.12808501720428467,0.00022581375092267991,0.11999748907324383,1.0655156573761269,0.23018849057547122,0.3362187831560054,ok,ProlifChon,Pcw6.1_Proximal_UpperLimb,osteogen_vs_adipogen
12,10,1.7779935598373413,0.00035902608225587754,0.15454827308733154,11.502131329222854,9.99950002499875e-05,0.4330941907267842,ok,ProlifChon,Pcw6.1_s1_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.14130595326423645,0.00030637936820276083,0.12160540837288049,1.1594843994412203,0.2055897205139743,0.3408015228122681,ok,ProlifChon,Pcw6.1_s1_Middle_UpperLimb,osteogen_vs_adipogen
12,10,1.6485110521316528,-1.4351558638736605e-05,0.153141536279086,10.764717683685827,9.99950002499875e-05,0.42878195002280206,ok,ProlifChon,Pcw6.1_Distal_UpperLimb,chondrogen_vs_naiv
