"klasse","ensembl"
"Struktur_ECM","ENSG00000277626"
"Struktur_ECM","ENSG00000114251"
"Struktur_ECM","ENSG00000115596"
"Struktur_ECM","ENSG00000154764"
"Struktur_ECM","ENSG00000061492"
"Struktur_ECM","ENSG00000085741"
"Struktur_ECM","ENSG00000134245"
"Struktur_ECM","ENSG00000012171"
"Struktur_ECM","ENSG00000183628"
"Struktur_ECM","ENSG00000152583"
"Struktur_ECM","ENSG00000138623"
"Struktur_ECM","ENSG00000288455"
"Struktur_ECM","ENSG00000189409"
"Struktur_ECM","ENSG00000142748"
"Struktur_ECM","ENSG00000147044"
"Struktur_ECM","ENSG00000019169"
"Struktur_ECM","ENSG00000174080"
"Struktur_ECM","ENSG00000135074"
"Struktur_ECM","ENSG00000124159"
"Struktur_ECM","ENSG00000112761"
"Struktur_ECM","ENSG00000064205"
"Struktur_ECM","ENSG00000104415"
"Struktur_ECM","ENSG00000275395"
"Struktur_ECM","ENSG00000281123"
"Struktur_ECM","ENSG00000106397"
"Struktur_ECM","ENSG00000169583"
"Struktur_ECM","ENSG00000116194"
"Struktur_ECM","ENSG00000137674"
"Struktur_ECM","ENSG00000065320"
"Struktur_ECM","ENSG00000158859"
"Struktur_ECM","ENSG00000156140"
"Struktur_ECM","ENSG00000087116"
"Struktur_ECM","ENSG00000154734"
"Struktur_ECM","ENSG00000130513"
"Struktur_ECM","ENSG00000162512"
"Struktur_ECM","ENSG00000197859"
"Struktur_ECM","ENSG00000107742"
"Struktur_ECM","ENSG00000198799"
"Struktur_ECM","ENSG00000255690"
"Struktur_ECM","ENSG00000183098"
"Struktur_ECM","ENSG00000171819"
"Struktur_ECM","ENSG00000128606"
"Struktur_ECM","ENSG00000050555"
"Struktur_ECM","ENSG00000096006"
"Struktur_ECM","ENSG00000159674"
"Struktur_ECM","ENSG00000170382"
"Struktur_ECM","ENSG00000173083"
"Struktur_ECM","ENSG00000125966"
"Struktur_ECM","ENSG00000139330"
"Struktur_ECM","ENSG00000160323"
"Struktur_ECM","ENSG00000281244"
"Struktur_ECM","ENSG00000134917"
"Struktur_ECM","ENSG00000154736"
"Struktur_ECM","ENSG00000136378"
"Struktur_ECM","ENSG00000049192"
"Struktur_ECM","ENSG00000091128"
"Struktur_ECM","ENSG00000197558"
"Struktur_ECM","ENSG00000137573"
"Struktur_ECM","ENSG00000136859"
"Struktur_ECM","ENSG00000125848"
"Struktur_ECM","ENSG00000185070"
"Struktur_ECM","ENSG00000126500"
"Struktur_ECM","ENSG00000100109"
"Struktur_ECM","ENSG00000162745"
"Struktur_ECM","ENSG00000198759"
"Struktur_ECM","ENSG00000162804"
"Struktur_ECM","ENSG00000144749"
"Struktur_ECM","ENSG00000166923"
"Struktur_ECM","ENSG00000276886"
"Struktur_ECM","ENSG00000282046"
"Struktur_ECM","ENSG00000137251"
"Struktur_ECM","ENSG00000134028"
"Struktur_ECM","ENSG00000132855"
"Struktur_ECM","ENSG00000204542"
"Struktur_ECM","ENSG00000231624"
"Struktur_ECM","ENSG00000229432"
"Struktur_ECM","ENSG00000206461"
"Struktur_ECM","ENSG00000224105"
"Struktur_ECM","ENSG00000225543"
"Struktur_ECM","ENSG00000196104"
"Struktur_ECM","ENSG00000064309"
"Struktur_ECM","ENSG00000167941"
"Struktur_ECM","ENSG00000167772"
"Struktur_ECM","ENSG00000149084"
"Struktur_ECM","ENSG00000172889"
"Struktur_ECM","ENSG00000101280"
"Struktur_ECM","ENSG00000162552"
"Struktur_ECM","ENSG00000143382"
"Struktur_ECM","ENSG00000173114"
"Struktur_ECM","ENSG00000090530"
"Struktur_ECM","ENSG00000112851"
"Struktur_ECM","ENSG00000167346"
"Struktur_ECM","ENSG00000163638"
"Struktur_ECM","ENSG00000174807"
"Struktur_ECM","ENSG00000156218"
"Struktur_ECM","ENSG00000291606"
"Struktur_ECM","ENSG00000175928"
"Struktur_ECM","ENSG00000101203"
"Struktur_ECM","ENSG00000074527"
"Struktur_ECM","ENSG00000132702"
"Struktur_ECM","ENSG00000291756"
"Struktur_ECM","ENSG00000172987"
"Struktur_ECM","ENSG00000188937"
"Struktur_ECM","ENSG00000132692"
"Struktur_ECM","ENSG00000120332"
"Struktur_ECM","ENSG00000137675"
"Struktur_ECM","ENSG00000198732"
"Struktur_ECM","ENSG00000112562"
"Struktur_ECM","ENSG00000117385"
"Struktur_ECM","ENSG00000008516"
"Struktur_ECM","ENSG00000197253"
"Struktur_ECM","ENSG00000271447"
"Struktur_ECM","ENSG00000278843"
"Struktur_ECM","ENSG00000173376"
"Struktur_ECM","ENSG00000140506"
"Struktur_ECM","ENSG00000176204"
"Struktur_ECM","ENSG00000173157"
"Struktur_ECM","ENSG00000138759"
"Struktur_ECM","ENSG00000123243"
"Struktur_ECM","ENSG00000111186"
"Struktur_ECM","ENSG00000158270"
"Struktur_ECM","ENSG00000141098"
"Struktur_ECM","ENSG00000107821"
"Struktur_ECM","ENSG00000151388"
"Struktur_ECM","ENSG00000281690"
"Struktur_ECM","ENSG00000142303"
"Struktur_ECM","ENSG00000132026"
