n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,zone,probe,vergleich
435,173,0.13763020932674408,-0.0003434212544932961,0.0290757924196285,4.745309382801002,9.99950002499875e-05,0.0810687975204665,ok,ProlifChon,Pcw6.5_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.1396605670452118,-0.00035835743732750414,0.031832591686678444,4.3986027232943,9.99950002499875e-05,0.08877289928537214,ok,ProlifChon,Pcw5.4_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.17230860888957977,-0.00043817802648991346,0.02955598962922141,5.844730258846702,9.99950002499875e-05,0.08231859293533002,ok,ProlifChon,Pcw9.3_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.11704709380865097,-0.0003186023524031043,0.02895176723362202,4.053835305250588,9.99950002499875e-05,0.08074634590173854,ok,ProlifChon,Pcw9.3_s2_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.13620944321155548,-0.00022826524283736945,0.026994687461439643,5.0542429375886,9.99950002499875e-05,0.07535685964919363,ok,ProlifChon,Pcw9.0_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.1385362148284912,-0.00020701330322772264,0.027301408543499234,5.0819073276259665,9.99950002499875e-05,0.07623693061857012,ok,ProlifChon,Pcw9.0_s2_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.1360124945640564,-0.00031167844515293835,0.03139271116143716,4.342542200581583,9.99950002499875e-05,0.0875879128068711,ok,ProlifChon,Pcw6.1_Proximal_UpperLimb,PA309_vs_Modul
435,173,0.14216557145118713,-0.0003194823918864131,0.0318223086465986,4.477520956302565,9.99950002499875e-05,0.08878298181858967,ok,ProlifChon,Pcw6.1_s1_Middle_UpperLimb,PA309_vs_Modul
435,173,0.11858253180980682,-0.00024522676169872284,0.031488490657228314,3.7736886110236005,0.000199990000499975,0.08792254707854055,ok,ProlifChon,Pcw6.1_Distal_UpperLimb,PA309_vs_Modul
435,173,0.1366567462682724,-0.00024125954806804658,0.03145126909843488,4.352702124288935,9.99950002499875e-05,0.08782229392754962,ok,ProlifChon,Pcw6.1_Proximal_LowerLimb,PA309_vs_Modul
435,173,0.14334730803966522,-0.00033181689362972975,0.03235777511445914,4.440327693268738,9.99950002499875e-05,0.09026995342685587,ok,ProlifChon,Pcw6.1_s2_Middle_UpperLimb,PA309_vs_Modul
435,173,0.1295972615480423,-0.00031533826254308224,0.03171555151273134,4.096179748235988,9.99950002499875e-05,0.08848820597310465,ok,ProlifChon,Pcw6.1_Distal_LowerLimb,PA309_vs_Modul
435,173,0.14524072408676147,-0.0002555022509768605,0.03231816357498653,4.5019954800386275,9.99950002499875e-05,0.09023535575898542,ok,ProlifChon,Pcw5.6_Middle_UpperLimb,PA309_vs_Modul
435,173,0.13905365765094757,-0.00024183725640177726,0.032967297117068826,4.22526282372203,9.99950002499875e-05,0.09206659467139093,ok,ProlifChon,Pcw5.6_Proximal_UpperLimb,PA309_vs_Modul
435,173,0.13061952590942383,-0.00036569005474448206,0.032920151674020855,3.9788764420407006,9.99950002499875e-05,0.0918107346325139,ok,ProlifChon,Pcw5.6_Distal_LowerLimb,PA309_vs_Modul
435,173,0.13540887832641602,-0.00025703002698719503,0.03271793463398662,4.146530331791685,9.99950002499875e-05,0.09135318694817533,ok,ProlifChon,Pcw5.6_Middle_LowerLimb,PA309_vs_Modul
435,173,0.1730838567018509,-0.00022445329707115888,0.033917643028813955,5.10968022900919,9.99950002499875e-05,0.09474494718360792,ok,PrehyperChon,Pcw8.4_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.16502094268798828,-0.00022012609522789717,0.033615810301558934,4.915575953721786,9.99950002499875e-05,0.09390414274913711,ok,PrehyperChon,Pcw8.4_s2_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.14277809858322144,-0.00016734664477407934,0.031519997527611796,4.535071587577824,9.99950002499875e-05,0.08808864643253894,ok,PrehyperChon,Pcw7.2_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.1333804726600647,-0.00020839020274579525,0.031192061627074736,4.282784012803285,9.99950002499875e-05,0.08712938235306346,ok,PrehyperChon,Pcw7.2_s2_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.20319348573684692,-0.0002720896732062101,0.03538331259927321,5.750325802288858,9.99950002499875e-05,0.09880118560475876,ok,PrehyperChon,Pcw9.0_s1_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.19431890547275543,-0.00030755510665476325,0.03399442476252851,5.725246476120511,9.99950002499875e-05,0.09487683422842505,ok,PrehyperChon,Pcw9.0_s2_Thigh_LowerLimb,PA309_vs_Modul
435,173,0.1540648192167282,-0.00020643808580935003,0.0335019885550406,4.60483881573431,9.99950002499875e-05,0.09359912986830432,ok,PrehyperChon,Pcw6.1_s1_Middle_UpperLimb,PA309_vs_Modul
435,173,0.1711149960756302,-0.0002993258586153388,0.033998391485657975,5.041836229415608,9.99950002499875e-05,0.09489617030122699,ok,PrehyperChon,Pcw6.1_s2_Middle_UpperLimb,PA309_vs_Modul
435,173,0.13248758018016815,-0.00012345076203346253,0.03180667620731985,4.169282891359868,9.99950002499875e-05,0.08893524261846211,ok,HyperChon,Pcw9.0_s2_Thigh_LowerLimb,PA309_vs_Modul
