"ensembl","satz"
"ENSG00000224501","S_ZELLZYKLUS"
"ENSG00000231555","S_ZELLZYKLUS"
"ENSG00000212866","S_ZELLZYKLUS"
"ENSG00000126803","S_ZELLZYKLUS"
"ENSG00000109971","S_ZELLZYKLUS"
"ENSG00000096384","S_ZELLZYKLUS"
"ENSG00000136273","S_ZELLZYKLUS"
"ENSG00000115738","S_ZELLZYKLUS"
"ENSG00000172201","S_ZELLZYKLUS"
"ENSG00000177047","S_ZELLZYKLUS"
"ENSG00000017427","S_ZELLZYKLUS"
"ENSG00000140443","S_ZELLZYKLUS"
"ENSG00000167244","S_ZELLZYKLUS"
"ENSG00000113141","S_ZELLZYKLUS"
"ENSG00000115008","S_ZELLZYKLUS"
"ENSG00000125538","S_ZELLZYKLUS"
"ENSG00000136634","S_ZELLZYKLUS"
"ENSG00000166333","S_ZELLZYKLUS"
"ENSG00000149503","S_ZELLZYKLUS"
"ENSG00000168556","S_ZELLZYKLUS"
"ENSG00000123999","S_ZELLZYKLUS"
"ENSG00000122641","S_ZELLZYKLUS"
"ENSG00000254647","S_ZELLZYKLUS"
"ENSG00000173404","S_ZELLZYKLUS"
"ENSG00000171105","S_ZELLZYKLUS"
"ENSG00000125347","S_ZELLZYKLUS"
"ENSG00000150093","S_ZELLZYKLUS"
"ENSG00000177606","S_ZELLZYKLUS"
"ENSG00000171223","S_ZELLZYKLUS"
"ENSG00000130522","S_ZELLZYKLUS"
"ENSG00000130037","S_ZELLZYKLUS"
"ENSG00000068796","S_ZELLZYKLUS"
"ENSG00000138160","S_ZELLZYKLUS"
"ENSG00000237649","S_ZELLZYKLUS"
"ENSG00000233450","S_ZELLZYKLUS"
"ENSG00000056678","S_ZELLZYKLUS"
"ENSG00000204197","S_ZELLZYKLUS"
"ENSG00000125337","S_ZELLZYKLUS"
"ENSG00000079616","S_ZELLZYKLUS"
"ENSG00000108424","S_ZELLZYKLUS"
"ENSG00000065150","S_ZELLZYKLUS"
"ENSG00000117632","S_ZELLZYKLUS"
"ENSG00000174697","S_ZELLZYKLUS"
"ENSG00000106003","S_ZELLZYKLUS"
"ENSG00000128342","S_ZELLZYKLUS"
"ENSG00000105486","S_ZELLZYKLUS"
"ENSG00000182541","S_ZELLZYKLUS"
"ENSG00000107798","S_ZELLZYKLUS"
"ENSG00000073350","S_ZELLZYKLUS"
"ENSG00000131899","S_ZELLZYKLUS"
"ENSG00000160789","S_ZELLZYKLUS"
"ENSG00000070018","S_ZELLZYKLUS"
"ENSG00000281324","S_ZELLZYKLUS"
"ENSG00000162337","S_ZELLZYKLUS"
"ENSG00000254087","S_ZELLZYKLUS"
"ENSG00000164109","S_ZELLZYKLUS"
"ENSG00000147381","S_ZELLZYKLUS"
"ENSG00000047849","S_ZELLZYKLUS"
"ENSG00000073111","S_ZELLZYKLUS"
"ENSG00000112118","S_ZELLZYKLUS"
"ENSG00000104738","S_ZELLZYKLUS"
"ENSG00000076003","S_ZELLZYKLUS"
"ENSG00000135679","S_ZELLZYKLUS"
"ENSG00000198625","S_ZELLZYKLUS"
"ENSG00000134138","S_ZELLZYKLUS"
"ENSG00000133895","S_ZELLZYKLUS"
"ENSG00000148773","S_ZELLZYKLUS"
"ENSG00000178053","S_ZELLZYKLUS"
"ENSG00000076242","S_ZELLZYKLUS"
"ENSG00000173327","S_ZELLZYKLUS"
"ENSG00000184481","S_ZELLZYKLUS"
"ENSG00000169184","S_ZELLZYKLUS"
"ENSG00000020426","S_ZELLZYKLUS"
"ENSG00000070444","S_ZELLZYKLUS"
"ENSG00000172680","S_ZELLZYKLUS"
"ENSG00000020922","S_ZELLZYKLUS"
"ENSG00000095002","S_ZELLZYKLUS"
"ENSG00000057468","S_ZELLZYKLUS"
"ENSG00000204410","S_ZELLZYKLUS"
"ENSG00000233345","S_ZELLZYKLUS"
"ENSG00000235222","S_ZELLZYKLUS"
"ENSG00000237333","S_ZELLZYKLUS"
"ENSG00000230961","S_ZELLZYKLUS"
"ENSG00000230293","S_ZELLZYKLUS"
"ENSG00000227314","S_ZELLZYKLUS"
"ENSG00000235569","S_ZELLZYKLUS"
"ENSG00000163132","S_ZELLZYKLUS"
"ENSG00000120149","S_ZELLZYKLUS"
"ENSG00000185499","S_ZELLZYKLUS"
"ENSG00000108395","S_ZELLZYKLUS"
"ENSG00000183486","S_ZELLZYKLUS"
"ENSG00000118513","S_ZELLZYKLUS"
"ENSG00000185697","S_ZELLZYKLUS"
"ENSG00000101057","S_ZELLZYKLUS"
"ENSG00000136997","S_ZELLZYKLUS"
"ENSG00000099860","S_ZELLZYKLUS"
"ENSG00000100345","S_ZELLZYKLUS"
"ENSG00000133026","S_ZELLZYKLUS"
"ENSG00000122180","S_ZELLZYKLUS"
"ENSG00000058272","S_ZELLZYKLUS"
"ENSG00000103274","S_ZELLZYKLUS"
"ENSG00000104320","S_ZELLZYKLUS"
"ENSG00000124479","S_ZELLZYKLUS"
"ENSG00000185721","S_ZELLZYKLUS"
"ENSG00000168385","S_ZELLZYKLUS"
"ENSG00000117650","S_ZELLZYKLUS"
"ENSG00000136098","S_ZELLZYKLUS"
"ENSG00000181965","S_ZELLZYKLUS"
"ENSG00000186575","S_ZELLZYKLUS"
"ENSG00000162599","S_ZELLZYKLUS"
"ENSG00000147862","S_ZELLZYKLUS"
"ENSG00000170322","S_ZELLZYKLUS"
"ENSG00000167034","S_ZELLZYKLUS"
"ENSG00000149308","S_ZELLZYKLUS"
"ENSG00000181163","S_ZELLZYKLUS"
"ENSG00000163273","S_ZELLZYKLUS"
"ENSG00000159899","S_ZELLZYKLUS"
"ENSG00000162733","S_ZELLZYKLUS"
"ENSG00000137497","S_ZELLZYKLUS"
"ENSG00000136811","S_ZELLZYKLUS"
"ENSG00000085840","S_ZELLZYKLUS"
"ENSG00000115947","S_ZELLZYKLUS"
"ENSG00000172818","S_ZELLZYKLUS"
"ENSG00000007168","S_ZELLZYKLUS"
"ENSG00000007372","S_ZELLZYKLUS"
"ENSG00000185630","S_ZELLZYKLUS"
"ENSG00000078674","S_ZELLZYKLUS"
"ENSG00000132646","S_ZELLZYKLUS"
"ENSG00000160299","S_ZELLZYKLUS"
"ENSG00000131165","S_ZELLZYKLUS"
"ENSG00000102225","S_ZELLZYKLUS"
"ENSG00000059758","S_ZELLZYKLUS"
"ENSG00000117266","S_ZELLZYKLUS"
"ENSG00000172572","S_ZELLZYKLUS"
"ENSG00000100311","S_ZELLZYKLUS"
"ENSG00000113721","S_ZELLZYKLUS"
"ENSG00000058091","S_ZELLZYKLUS"
"ENSG00000085563","S_ZELLZYKLUS"
"ENSG00000078142","S_ZELLZYKLUS"
"ENSG00000137193","S_ZELLZYKLUS"
"ENSG00000127445","S_ZELLZYKLUS"
"ENSG00000008710","S_ZELLZYKLUS"
"ENSG00000118762","S_ZELLZYKLUS"
"ENSG00000170927","S_ZELLZYKLUS"
"ENSG00000118495","S_ZELLZYKLUS"
"ENSG00000197943","S_ZELLZYKLUS"
"ENSG00000178209","S_ZELLZYKLUS"
"ENSG00000166851","S_ZELLZYKLUS"
"ENSG00000171566","S_ZELLZYKLUS"
"ENSG00000188313","S_ZELLZYKLUS"
"ENSG00000140464","S_ZELLZYKLUS"
