panel,symbol,ensembl,mode_of_inheritance,confidence_level
PA309,GJA1,ENSG00000152661,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,GLB1,ENSG00000170266,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GLI3,ENSG00000106571,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,GNAS,ENSG00000087460,Unknown,3
PA309,GNPAT,ENSG00000116906,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GNPTAB,ENSG00000111670,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GNPTG,ENSG00000090581,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GNS,ENSG00000135677,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GORAB,ENSG00000120370,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GPC6,ENSG00000183098,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GPX4,ENSG00000167468,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GSC,ENSG00000133937,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GUSB,ENSG00000169919,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,GZF1,ENSG00000125812,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,HDAC8,ENSG00000147099,"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)",3
PA309,HES7,ENSG00000179111,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,HGSNAT,ENSG00000165102,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,HHAT,ENSG00000054392,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,HOXA13,ENSG00000106031,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,HOXD13,ENSG00000128714,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,HPGD,ENSG00000164120,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,HS2ST1,ENSG00000153936,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,HSPG2,ENSG00000142798,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ICK,ENSG00000112144,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IDS,ENSG00000010404,"X-LINKED: hemizygous mutation in males, biallelic mutations in females",3
PA309,IDUA,ENSG00000127415,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IFIH1,ENSG00000115267,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,IFITM5,ENSG00000206013,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,IFT122,ENSG00000163913,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IFT140,ENSG00000187535,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IFT172,ENSG00000138002,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IFT43,ENSG00000119650,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IFT52,ENSG00000101052,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IFT80,ENSG00000068885,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IFT81,ENSG00000122970,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,IHH,ENSG00000163501,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
