"klasse","ensembl"
"ECM_STRUKTUR","ENSG00000134013"
"ECM_STRUKTUR","ENSG00000123384"
"ECM_STRUKTUR","ENSG00000166949"
"ECM_STRUKTUR","ENSG00000141646"
"ECM_STRUKTUR","ENSG00000163975"
"ECM_STRUKTUR","ENSG00000196611"
"ECM_STRUKTUR","ENSG00000087245"
"ECM_STRUKTUR","ENSG00000149968"
"ECM_STRUKTUR","ENSG00000137673"
"ECM_STRUKTUR","ENSG00000118113"
"ECM_STRUKTUR","ENSG00000100985"
"ECM_STRUKTUR","ENSG00000166670"
"ECM_STRUKTUR","ENSG00000099953"
"ECM_STRUKTUR","ENSG00000275365"
"ECM_STRUKTUR","ENSG00000262406"
"ECM_STRUKTUR","ENSG00000137745"
"ECM_STRUKTUR","ENSG00000157227"
"ECM_STRUKTUR","ENSG00000102996"
"ECM_STRUKTUR","ENSG00000156103"
"ECM_STRUKTUR","ENSG00000198598"
"ECM_STRUKTUR","ENSG00000123342"
"ECM_STRUKTUR","ENSG00000115204"
"ECM_STRUKTUR","ENSG00000111049"
"ECM_STRUKTUR","ENSG00000133392"
"ECM_STRUKTUR","ENSG00000276480"
"ECM_STRUKTUR","ENSG00000157483"
"ECM_STRUKTUR","ENSG00000196712"
"ECM_STRUKTUR","ENSG00000077150"
"ECM_STRUKTUR","ENSG00000148400"
"ECM_STRUKTUR","ENSG00000161270"
"ECM_STRUKTUR","ENSG00000162733"
"ECM_STRUKTUR","ENSG00000164761"
"ECM_STRUKTUR","ENSG00000122884"
"ECM_STRUKTUR","ENSG00000140564"
"ECM_STRUKTUR","ENSG00000134853"
"ECM_STRUKTUR","ENSG00000205221"
"ECM_STRUKTUR","ENSG00000206075"
"ECM_STRUKTUR","ENSG00000122194"
"ECM_STRUKTUR","ENSG00000167711"
"ECM_STRUKTUR","ENSG00000276838"
"ECM_STRUKTUR","ENSG00000083444"
"ECM_STRUKTUR","ENSG00000152952"
"ECM_STRUKTUR","ENSG00000132170"
"ECM_STRUKTUR","ENSG00000204983"
"ECM_STRUKTUR","ENSG00000274247"
"ECM_STRUKTUR","ENSG00000275896"
"ECM_STRUKTUR","ENSG00000282049"
"ECM_STRUKTUR","ENSG00000169035"
"ECM_STRUKTUR","ENSG00000116260"
"ECM_STRUKTUR","ENSG00000163661"
"ECM_STRUKTUR","ENSG00000139687"
"ECM_STRUKTUR","ENSG00000145423"
"ECM_STRUKTUR","ENSG00000075618"
"ECM_STRUKTUR","ENSG00000125398"
"ECM_STRUKTUR","ENSG00000166145"
"ECM_STRUKTUR","ENSG00000125878"
"ECM_STRUKTUR","ENSG00000105329"
"ECM_STRUKTUR","ENSG00000092969"
"ECM_STRUKTUR","ENSG00000106799"
"ECM_STRUKTUR","ENSG00000069702"
"ECM_STRUKTUR","ENSG00000066056"
"ECM_STRUKTUR","ENSG00000038295"
"ECM_STRUKTUR","ENSG00000095587"
"ECM_STRUKTUR","ENSG00000112333"
"ECM_STRUKTUR","ENSG00000232810"
"ECM_STRUKTUR","ENSG00000228978"
"ECM_STRUKTUR","ENSG00000204490"
"ECM_STRUKTUR","ENSG00000228321"
"ECM_STRUKTUR","ENSG00000230108"
"ECM_STRUKTUR","ENSG00000228849"
"ECM_STRUKTUR","ENSG00000223952"
"ECM_STRUKTUR","ENSG00000206439"
"ECM_STRUKTUR","ENSG00000067182"
"ECM_STRUKTUR","ENSG00000028137"
"ECM_STRUKTUR","ENSG00000116147"
"ECM_STRUKTUR","ENSG00000172236"
"ECM_STRUKTUR","ENSG00000184937"
"ECM_STRUKTUR","ENSG00000004866"
"ECM_STRUKTUR","ENSG00000261857"
"ECM_STRUKTUR","ENSG00000168646"
"ECM_STRUKTUR","ENSG00000122707"
"ECM_STRUKTUR","ENSG00000189409"
"ECM_STRUKTUR","ENSG00000077943"
"ECM_STRUKTUR","ENSG00000143537"
"ECM_STRUKTUR","ENSG00000124159"
"ECM_STRUKTUR","ENSG00000003402"
"ECM_STRUKTUR","ENSG00000106397"
"ECM_STRUKTUR","ENSG00000133424"
"ECM_STRUKTUR","ENSG00000137674"
"ECM_STRUKTUR","ENSG00000158859"
"ECM_STRUKTUR","ENSG00000156140"
"ECM_STRUKTUR","ENSG00000087116"
"ECM_STRUKTUR","ENSG00000154734"
