"ensembl","expr","expr_rank","arm","klasse","punkt","label","n_undiff","n_diff"
"ENSG00000284341",0.631447778105246,0.0209561231172233,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000151838",1.36588036704776,0.0724950884086444,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000165474",3.69135562572234,0.187360838244925,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000185818",2.87504990531238,0.152193844138834,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000105967",1.66016883922432,0.0897184020956123,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000131409",2.27990173200041,0.124688932547479,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000279057",2.25758792178623,0.1237721021611,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000158683",3.12034644892494,0.162344466273739,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000125731",0.792210677656309,0.0323510150622135,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000169313",0.897000466817909,0.0409299279633268,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000167207",0.721744434660566,0.0278323510150622,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000135697",1.74813302355177,0.0954813359528487,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000019169",0.841552689801407,0.0358218729535036,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000144339",2.67577273011889,0.143483955468238,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000136928",4.16933357839829,0.206679764243615,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000127561",3.06761602650217,0.160248853962017,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000128833",2.76634844879636,0.1475442043222,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000099282",2.18340105291633,0.119384413883432,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000181790",2.34724556791278,0.128290766208251,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000143375",2.32409635663523,0.126915520628684,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000143674",3.31020067376053,0.170203012442698,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000174948",2.38246668531001,0.129404060248854,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000234828",0.654700583572827,0.0225278323510151,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000188051",0.689202271287553,0.0259986902423052,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000178568",3.17399751635927,0.165029469548134,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000165078",0.985140236716174,0.0481335952848723,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000144191",2.9604094203622,0.156057629338572,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000102128",2.51337319154404,0.135232481990832,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000188729",1.17111473215086,0.0609692206941716,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000206113",2.15868284189441,0.117878192534381,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000100092",2.94658187436251,0.155402750491159,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000196420",1.80685170670524,0.0999345121152587,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000185689",2.41388495004657,0.130451866404715,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000100302",1.34795092703816,0.0709233791748527,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000154025",1.16755198063894,0.0607727570399476,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000066336",1.49157804910352,0.0797642436149312,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
"ENSG00000177807",3.36047161633243,0.173346430910282,"osteogen","N",11,"RB1 +/- (GSE245585)",4,12
