"go","groesse","nA_3","nB_3","nA_4","nB_4","nA_5","nB_5","nA_11","nB_11","nA_13","nB_13","nA_14","nB_14","nA_15","nB_15","nA_17","nB_17","nA_18","nB_18","min_nA","min_nB","testbar","name"
"GO:0050671",200,60,847,64,887,12,137,35,1559,9,131,29,687,49,727,44,675,38,715,9,131,FALSE,"positive regulation of lymphocyte proliferation"
"GO:0050672",135,37,851,40,891,8,138,21,1564,7,132,17,689,20,732,21,676,21,715,7,132,FALSE,"negative regulation of lymphocyte proliferation"
"GO:0050678",431,147,838,153,876,23,138,114,1544,20,131,100,679,111,719,95,667,106,706,20,131,TRUE,"regulation of epithelial cell proliferation"
"GO:0050679",231,90,844,95,884,15,138,66,1556,10,132,53,687,63,728,48,676,50,712,10,132,FALSE,"positive regulation of epithelial cell proliferation"
"GO:0050680",190,57,845,58,883,5,138,46,1557,5,132,46,688,41,727,42,674,52,711,5,132,FALSE,"negative regulation of epithelial cell proliferation"
"GO:0050684",141,8,808,9,843,1,132,15,1483,1,127,3,665,2,706,1,660,1,691,1,127,FALSE,"regulation of mRNA processing"
"GO:0050688",82,37,846,37,887,4,138,23,1557,2,132,15,687,9,730,19,674,16,713,2,132,FALSE,"regulation of defense response to virus"
"GO:0050691",59,25,847,25,888,3,138,13,1558,1,132,10,688,5,730,12,674,9,714,1,132,FALSE,"regulation of defense response to virus by host"
"GO:0050708",305,88,842,89,882,15,134,76,1550,10,128,64,685,78,722,69,672,69,705,10,128,FALSE,"regulation of protein secretion"
"GO:0050709",81,25,847,25,887,6,138,19,1560,4,132,22,689,21,728,13,676,13,714,4,132,FALSE,"negative regulation of protein secretion"
"GO:0050714",164,50,847,51,887,6,134,44,1557,2,129,33,688,47,727,42,676,46,710,2,129,FALSE,"positive regulation of protein secretion"
"GO:0050728",227,71,845,72,885,8,138,52,1560,12,131,43,688,52,730,47,676,44,712,8,131,FALSE,"negative regulation of inflammatory response"
"GO:0050729",203,63,847,63,887,12,137,53,1560,12,132,42,688,47,730,54,674,54,715,12,132,FALSE,"positive regulation of inflammatory response"
"GO:0050730",177,65,846,66,885,7,138,52,1555,4,132,43,684,58,727,38,676,45,713,4,132,FALSE,"regulation of peptidyl-tyrosine phosphorylation"
"GO:0050731",129,51,848,52,887,4,138,33,1557,1,132,29,685,37,728,27,677,33,714,1,132,FALSE,"positive regulation of peptidyl-tyrosine phosphorylation"
"GO:0050764",118,33,848,38,888,1,138,28,1560,3,132,17,688,33,730,33,676,35,715,1,132,FALSE,"regulation of phagocytosis"
