"set","ensembl","quelle"
"S_ERAD","ENSG00000234651","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000227761","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000104691","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000058056","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000174672","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000291428","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000101557","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000110344","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000134109","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000051108","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000185825","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000204977","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000103266","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000130939","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000145495","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000107566","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000172046","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000198162","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000106803","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000135506","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000185104","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000147475","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000170881","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000291729","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000177239","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000118217","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000144224","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000113194","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000136813","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000128228","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000116661","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000116663","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000068912","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000155313","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000188021","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000135018","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000072849","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000162191","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000189050","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000137414","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000198833","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000050130","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000239857","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000077232","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000148719","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000163516","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000137522","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000180667","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000182446","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000088298","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000102595","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000131871","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000136731","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000108588","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000117643","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000142552","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_ERAD","ENSG00000005486","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
