"satz","ensembl"
"S_DISTAL","ENSG00000151233"
"S_DISTAL","ENSG00000163378"
"S_DISTAL","ENSG00000148488"
"S_DISTAL","ENSG00000177076"
"S_DISTAL","ENSG00000110328"
"S_DISTAL","ENSG00000253710"
"S_DISTAL","ENSG00000174473"
"S_DISTAL","ENSG00000251287"
"S_DISTAL","ENSG00000172986"
"S_DISTAL","ENSG00000214960"
"S_DISTAL","ENSG00000228474"
"S_DISTAL","ENSG00000214654"
"S_DISTAL","ENSG00000159461"
"S_DISTAL","ENSG00000162772"
"S_DISTAL","ENSG00000128272"
"S_DISTAL","ENSG00000030110"
"S_DISTAL","ENSG00000110092"
"S_DISTAL","ENSG00000176720"
"S_DISTAL","ENSG00000213676"
"S_DISTAL","ENSG00000234539"
"S_DISTAL","ENSG00000228628"
"S_DISTAL","ENSG00000168468"
"S_DISTAL","ENSG00000175197"
"S_DISTAL","ENSG00000178607"
"S_DISTAL","ENSG00000158092"
"S_DISTAL","ENSG00000116044"
"S_DISTAL","ENSG00000145675"
"S_DISTAL","ENSG00000055332"
"S_DISTAL","ENSG00000196396"
"S_DISTAL","ENSG00000175354"
"S_DISTAL","ENSG00000109501"
"S_DISTAL","ENSG00000100219"
"S_DISTAL","ENSG00000071051"
"S_DISTAL","ENSG00000140943"
"S_DISTAL","ENSG00000172071"
"S_DISTAL","ENSG00000114125"
"S_DISTAL","ENSG00000134109"
"S_DISTAL","ENSG00000051108"
"S_DISTAL","ENSG00000153094"
"S_DISTAL","ENSG00000103266"
"S_DISTAL","ENSG00000064687"
"S_DISTAL","ENSG00000107175"
"S_DISTAL","ENSG00000134398"
"S_DISTAL","ENSG00000135506"
"S_DISTAL","ENSG00000121022"
"S_DISTAL","ENSG00000198855"
"S_DISTAL","ENSG00000118217"
"S_DISTAL","ENSG00000014123"
"S_DISTAL","ENSG00000087074"
"S_DISTAL","ENSG00000106638"
"S_DISTAL","ENSG00000105327"
"S_DISTAL","ENSG00000068912"
