symbol,chondrogen,linienkonsistent,basis,linie_8A,linie_2454e,im_modul,ri
PRAMEF4,-0.060154326270051704,False,0.031127119135125798,-0.14939386248818765,0.029085209948084237,False,
PRAMEF10,-0.017672221243687926,False,0.030291154917700402,-0.09245860628795115,0.057114163800575296,False,
PRAMEF7,-0.008054478118656203,False,0.02957651356250125,-0.063549097238271,0.04744014100095859,False,
PRAMEF6,-0.0895317524997697,False,0.03039652370626835,-0.24965849106762825,0.07059498606808884,False,
PRAMEF27,-0.041955833506497994,False,0.02907882440516945,-0.17843054396184987,0.09451887694885389,False,
HNRNPCL3,-0.027936484455987377,False,0.02965823127690795,-0.14770634142495903,0.09183337251298428,False,
PRAMEF25,-0.06265364128161993,False,0.02953352854203815,-0.1642948815751025,0.03898759901186262,False,
HNRNPCL2,0.09236838010942851,True,0.02839099550914865,0.05458373217082008,0.13015302804803694,False,
PRAMEF26,-0.03971512602794779,False,0.0304166050023346,-0.17923946020627138,0.09980920815037579,False,
HNRNPCL4,-0.022720610981974636,False,0.030323819460050798,-0.15735300447230258,0.1119117825083533,False,
PRAMEF9,-0.026550241970356048,False,0.029770198463207102,-0.18448907353382699,0.1313885895931149,False,
PRAMEF13,-0.06042971283654785,False,0.0282068284724874,-0.16525110154405234,0.044391675870956646,False,
PRAMEF18,-0.100506669827157,False,0.030734169850555052,-0.258275609263422,0.05726226960910803,False,
PRAMEF5,-0.04054519161299353,True,0.02985371825387725,-0.0734180463898631,-0.007672336836123963,False,
PRAMEF8,-0.013789708999872967,False,0.02934742813690285,-0.12045245998998734,0.0928730419902414,False,
PRAMEF33,-0.0264726054901831,False,0.029314768309833553,-0.1511063559194655,0.0981611449390993,False,
PRAMEF15,-0.08218123708283523,False,0.031182944549248796,-0.21306999564344106,0.04870752147777059,False,
PRAMEF14,-0.046055102858838834,False,0.0332659574257565,-0.14626629663390642,0.05415609091622876,False,
PRAMEF19,-0.08088203370708455,False,0.0340760009956697,-0.21108317730198883,0.04931910988781972,False,
PRAMEF17,-0.03667414512663415,False,0.03498340220060265,-0.11588227516246259,0.04253398490919428,False,
PRAMEF20,0.05952616128884883,False,0.03309209880366,-0.02300651053058561,0.14205883310828327,False,
LRRC38,-0.015167490418734622,False,0.0333315676672642,-0.11019709008536258,0.07986210924789333,False,
PDPN,0.11129600252671057,False,0.03570362549828335,-0.058916978682430454,0.2815089837358516,False,
PRDM2,-0.024240071287757473,False,0.0544940655232821,0.13951409587378694,-0.18799423844930188,False,
KAZN,0.0682393605603191,False,0.035598606911884295,-0.040019187232421774,0.17649790835305998,False,
TMEM51,-0.02236422027354452,True,0.0397688615691779,-0.015206001897721774,-0.02952243864936727,False,
FHAD1,0.03976384185199924,True,0.035592303383150906,0.06188373952234688,0.017643944181651612,False,
EFHD2,-0.6020192193988539,True,0.1113904858130455,-0.6009515221855674,-0.6030869166121405,False,
CTRC,-0.2082273534961868,True,0.048905489330265395,-0.26656199926293195,-0.14989270772944163,False,
CELA2A,0.0691264705260087,False,0.036004491854256096,-0.048178333315559166,0.1864312743675766,False,
CELA2B,0.0560847363871687,False,0.03545838666452055,-0.1058277150263625,0.2179971878006999,False,
CASP9,-0.23876689334560036,True,0.0818443409998378,-0.11711605283219668,-0.36041773385900405,False,
DNAJC16,-0.23977203716922782,True,0.0818588938349735,-0.11414012835811223,-0.3654039459803434,False,
AGMAT,0.042585716761880776,False,0.03667004601025195,-0.11022258447495015,0.1953940179987117,False,
DDI2,0.28066729873849405,True,0.06272086581263375,0.13109738380031977,0.4302372136766684,False,
RSC1A1,0.20359832581145867,True,0.04103940110772515,0.11769054912400223,0.2895061024989151,False,
PLEKHM2,-0.3553984848050853,True,0.1429961715668145,-0.39003113714773774,-0.3207658324624328,False,
SLC25A34,-0.1131437219593464,True,0.0444228419005467,-0.21777620660757024,-0.008511237311122556,False,
TMEM82,-0.10493685760773105,True,0.04402030405434465,-0.16505368757544195,-0.04482002764002016,False,
FBLIM1,-0.39501275041334233,True,0.06905174220003575,-0.39503863443037585,-0.3949868663963088,False,
UQCRHL,-0.2791773202312307,True,0.06056174823675105,-0.3368735211885894,-0.22148111927387207,False,
SPEN,-0.3467777041102145,True,0.0751913122943128,-0.22072944902097488,-0.4728259591994542,False,
ZBTB17,0.0021601702638324007,False,0.058960393928725846,0.01641418114330795,-0.012093840615643147,False,
SRARP,-0.18687653253146688,True,0.0591435872083967,-0.32994137981758953,-0.043811685245344255,False,
HSPB7,-0.4883030596948956,True,0.11338868222179549,-0.8237181515940464,-0.1528879677957449,False,
CLCNKA,-0.4916460956324815,True,0.1138096717116095,-0.8270790042242454,-0.15621318704071765,False,
CLCNKB,-0.14303376649699406,False,0.046083959701018404,-0.32698110020685334,0.04091356721286523,False,
FAM131C,-0.3696516311779301,True,0.0634138707485711,-0.5183438950916505,-0.22095936726420976,False,
EPHA2,-0.816560463574868,True,0.10446970112765724,-0.8264329834737847,-0.8066879436759512,False,
ARHGEF19,0.52473015102596,True,0.054066801640355,0.29685599376485455,0.7526043082870655,False,
CPLANE2,0.06611424036994759,False,0.050423269242330856,-0.011277683934953013,0.1435061646748482,False,
FBXO42,-0.06045608841192561,True,0.06650936837945909,-0.10073094938046936,-0.02018122744338185,False,
SZRD1,-0.06156719373802731,True,0.0665206944698761,-0.10162444869331383,-0.021509938782740788,False,
SPATA21,0.011834411511186874,False,0.05123623893306985,-0.10883422734443787,0.13250305036681162,False,
NECAP2,0.03749806840913658,False,0.05104894831724675,-0.07216748525318559,0.14716362207145875,False,
NBPF1,-0.3133566899356459,True,0.10449102849411775,-0.34814107537367806,-0.2785723044976138,False,
CROCC,-0.15638622522288817,True,0.0636377860877645,-0.10918390274048628,-0.20358854770529006,False,
MFAP2,-0.27455249541065535,True,0.0657134707983228,-0.5185480966996598,-0.030556894121650875,False,
ATP13A2,-0.044982960637573406,True,0.041886599222876006,-0.02329801095275107,-0.06666791032239575,False,
ENSG00000288636,-0.04649949364587297,True,0.0419071729221406,-0.02396972716721244,-0.06902926012453349,False,
SDHB,-0.048327517997645106,True,0.0554945062352957,-0.03207527670911733,-0.06457975928617289,False,
PADI2,-0.2540450924363465,True,0.0460071615161633,-0.346463040167263,-0.16162714470542996,False,
PADI1,-0.21566933076449857,True,0.052597052604020506,-0.19500183023069087,-0.23633683129830627,False,
PADI3,-0.23618023709473945,True,0.04180621894006485,-0.326200215453017,-0.1461602587364619,False,
PADI4,0.018320026239926058,True,0.03328424850829825,0.0061592600488267,0.030480792431025413,False,
PADI6,0.01974703878551726,True,0.03258831740121515,0.004621284858698117,0.034872792712336405,False,
RCC2,0.0163114259053585,False,0.06844651862457775,-0.2663954371027384,0.2990182889134554,False,
ARHGEF10L,-0.30075098079829676,True,0.0676770419140139,-0.36546770437597464,-0.23603425722061885,False,
ACTL8,-0.2457019436011587,True,0.04966207970487245,-0.2377256744512076,-0.2536782127511098,False,
IGSF21,-0.055270308720232746,False,0.03609269189716205,-0.14083727848962418,0.03029666104915869,False,
KLHDC7A,-0.05479137296392781,False,0.0347581700876433,-0.16618850655096037,0.05660576062310475,False,
PAX7,0.03377584928219528,False,0.032190840527994355,-0.02606851389555171,0.09362021245994227,False,
TAS1R2,-0.04430328251994676,False,0.03407964577050855,-0.16566389509355783,0.07705733005366432,False,
ALDH4A1,-0.293539125382531,True,0.060980793028211897,-0.29485581352041657,-0.29222243724464547,False,
IFFO2,-0.13361446202967406,True,0.10302021046284715,-0.14540602397977842,-0.12182290007956968,False,
UBR4,-0.20690239211831765,False,0.09261308602482851,0.010615856350945517,-0.42442064058758083,False,
