symbol,osteogen,adipogen,differenz,basis,im_modul,ri,markerklasse
SMIM1,-0.014296855692304405,-0.0540649862986733,0.03976813060636889,0.177609965455522,False,,
LRRC47,-0.24406951970985835,-0.1466319047119596,-0.09743761499789874,0.171576745754855,False,,
CEP104,-0.08922992002604054,-0.07502711506362719,-0.014202804962413343,0.248592623996623,False,,
DFFB,-0.09044454454582511,-0.07469466182551338,-0.015749882720311734,0.24834798942906,False,,
C1orf174,0.17768116220350874,0.08502544502576596,0.09265571717774278,0.216934231943073,False,,
AJAP1,0.14861751798119413,0.3648914388224844,-0.2162739208412903,0.0514330689667702,False,,
NPHP4,0.013175104721551442,0.041665824009057904,-0.02849071928750646,0.158557265598285,False,,
KCNAB2,0.020819260879313472,0.04167079672548154,-0.020851535846168067,0.158782065466461,False,,
CHD5,0.09961177936014874,0.10879316714587754,-0.0091813877857288,0.160367023329878,False,,
ENSG00000285629,0.13562968342157755,0.0868390826698825,0.04879060075169506,0.18500331398647,False,,
RPL22,0.1363297936768417,0.08293967158415497,0.05339012209268673,0.198232496421639,False,,
RNF207,0.13750692990938918,0.08530224709681394,0.05220468281257523,0.194059774035978,False,,
ICMT,0.14565518408599462,0.027360141962325567,0.11829504212366905,0.20596018672901,False,,
HES3,0.1402994846468699,0.008137052512051055,0.13216243213481885,0.200533610621013,False,,
GPR153,-0.09032550227383951,-0.06693247729540652,-0.023393024978432986,0.182202500608359,False,,
ACOT7,0.05679088903301327,-0.01651516699564994,0.0733060560286632,0.166495345259171,False,,
HES2,-0.11285549799414264,-0.13650258221929182,0.023647084225149176,0.169878249502334,False,,
ESPN,-0.11363632918876637,-0.13737221445542158,0.02373588526665521,0.170033828596608,False,,
TNFRSF25,-0.033861853296399215,-0.209604487988546,0.1757426346921468,0.200873511205146,False,,
PLEKHG5,-0.03904214126461892,-0.22154758621672313,0.18250544495210422,0.243862742978173,False,,
NOL9,0.2705580846783023,0.021903361669122184,0.2486547230091801,0.293158783423459,False,,
TAS1R1,0.2787844518198617,0.03017335017828775,0.24861110164157396,0.295510126592178,False,,
ZBTB48,0.06990008873600846,-0.04772317464108255,0.117623263377091,0.386763008501559,False,,
KLHL21,0.20244248671017562,0.1135861837465894,0.08885630296358622,0.339248514246859,False,,
PHF13,0.20044219095197283,0.10754877346073727,0.09289341749123556,0.341080393234156,False,,
THAP3,0.23372575869081255,0.1689256693618332,0.06480008932897935,0.320139274684533,False,,
DNAJC11,-0.16986418355074387,-0.1254552028261925,-0.04440898072455138,0.132900999226463,False,,
CAMTA1,-0.00846439865152917,0.005433424834835453,-0.013897823486364622,0.177696804491564,False,,
VAMP3,-0.09220334487501293,0.026592809595782325,-0.11879615447079525,0.125060619598123,False,,
PER3,-0.11529119037908253,-0.0016924645079774935,-0.11359872587110503,0.127052286119731,False,,
UTS2,0.023011288492695223,0.08005143160220901,-0.05704014310951379,0.0950234656937532,False,,
TNFRSF9,0.048545800274144825,0.13196330848474933,-0.08341750821060451,0.184236291035818,False,,
PARK7,-0.1305835130667237,-0.015578292351823017,-0.11500522071490067,0.211608804792407,False,,
ERRFI1,0.06237131249141339,0.04524343713251466,0.017127875358898724,0.323145679953834,False,,
SLC45A1,0.09262460265333507,0.17268993035090693,-0.08006532769757187,0.0932484747423452,False,,
RERE,0.159598724572192,-0.03941085097007881,0.19900957554227083,0.31214381913948,False,,
ENO1,0.11612218114216477,-0.048134963279267744,0.16425714442143252,0.31934259821686,False,,
CA6,-0.06913673876694953,-0.09835695955705577,0.029220220790106236,0.125529352004968,False,,
SLC2A7,0.08409970902127735,0.11080761859650688,-0.026707909575229533,0.097995497768664,False,,
SLC2A5,-0.035274065565146756,0.031869964134573554,-0.0671440296997203,0.135109059260162,False,,
GPR157,-0.10074618022297997,-0.03496291262210042,-0.06578326760087955,0.193839355993883,False,,
H6PD,-0.04045939308751457,-0.05780383560895419,0.017344442521439622,0.244723831582518,True,1.0,
SPSB1,-0.07245938998837569,-0.0771852924385946,0.004725902450218908,0.207982307440282,False,,
SLC25A33,0.09802169136122574,0.16629060875618298,-0.06826891739495725,0.124248863997681,False,,
TMEM201,0.22032107366198694,0.13060869533947891,0.08971237832250803,0.142302350322351,False,,
PIK3CD,-0.0384190628728866,-0.09467422957639626,0.05625516670350966,0.142604049908169,False,,
CLSTN1,0.056005551068332354,0.04731679755905186,0.008688753509280493,0.131834409917488,False,,
CTNNBIP1,-0.07549183051293583,-0.07823084096449184,0.002739010451556015,0.198027516392708,False,,
