symbol,flach,saeule,osteogen,basis,im_modul,ri,markerklasse
ACSBG1,-0.7484058833549176,-0.17031818443772062,-0.45936203389631913,3.487770217711055,False,,
ACSF2,-0.9847651310890049,-0.7031161957472944,-0.8439406634181497,5.329720240203324,False,,
ACSF3,1.4928716898587764,0.5773542824934235,1.0351129861761,2.9930067299635703,False,,
ACSL1,0.6490129005260794,0.6433611977476295,0.6461870491368544,5.318822420289232,True,1.0,
ACSL3,-0.3229962340546777,-0.301859595156559,-0.31242791460561836,6.265283625965622,False,,
ACSL4,0.5068089919261491,0.6691200388418657,0.5879645153840074,3.833312668969952,False,,
ACSL5,-0.27663193448690837,-0.41861267774446453,-0.34762230611568645,2.404488471632438,False,,
ACSL6,0.18542738540508097,-0.10716428576786274,0.03913154981860911,3.62611716438179,False,,
ACSM3,-0.2526868725663811,-0.7882774342565679,-0.5204821534114745,4.051135962017088,False,,
ACSM5,0.16670324514948298,0.19177927788453242,0.1792412615170077,1.5900169310437846,False,,
ACSS1,0.8817742214729178,0.5050617073657047,0.6934179644193113,2.8221698416307075,False,,
ACSS2,0.22344192789530748,-0.09694511999830269,0.0632484039485024,5.731411400355519,False,,
ACSS3,-0.29878702205293806,-0.6042317649519164,-0.45150939350242725,3.58901549359697,False,,
ACTA2,-0.5208279585763851,-0.3936953273282713,-0.4572616429523282,5.222832539008481,False,,
ACTA2-AS1,-0.18996118031052367,-0.308230590788078,-0.24909588554930084,2.9433186851180437,False,,
ACTB,-0.041809007670294385,0.026876670068219255,-0.007466168801037565,5.372539009887007,False,,
ACTBL2,0.15011550997029177,0.45757453498865863,0.3038450224794752,1.6937279730565724,False,,
ACTC1,0.7669241328544745,1.1474170900247431,0.9571706114396088,2.225802394699603,False,,
ACTG1,0.7878877664084802,0.5666151320021608,0.6772514492053205,4.720662839166895,False,,
ACTG1P25,0.2682169039393507,0.2829109745514442,0.27556393924539746,4.407061397392918,False,,
ACTL10,1.0240565193828859,0.4266291025213671,0.7253428109521265,2.6022223901982797,False,,
ACTL6A,0.018403079557051782,0.05610179794419068,0.03725243875062123,6.270801657429485,False,,
