symbol,delta,n_sonden,donor_konsistent
AGR2,-0.018968950000000005,2,0.0
AGRP,0.00782048333333335,2,0.5
AGT,-0.0022201483333333383,2,0.0
AGTPBP1,-0.0024829133333333342,1,0.0
AGTR1,0.004028573333333335,2,0.5
AGTR2,0.030815000000000037,1,0.0
AGTRAP,0.002294060000000002,2,0.5
AGTRL1,-0.007597916666666649,2,0.5
AGXT,-0.01683992833333334,2,0.0
AGXT2,0.013222916666666657,2,0.5
AGXT2L1,0.0041158413333333334,1,0.0
AHCTF1,0.014207383333333323,2,0.0
AHCY,0.006038469999999993,2,0.0
AHCYL1,0.006013128333333334,2,0.5
AHNAK,0.09513523333333335,2,0.5
AHR,0.02061310333333333,2,0.5
AHRR,0.00205531666666664,2,0.0
AHSA2,-0.0021792516666666664,2,0.0
AHSG,0.01871423333333335,2,0.5
AIF1,0.017803059999999985,2,1.0
AIFL,0.0034026799999999934,2,0.0
AIG1,0.004575360333333334,2,0.0
AIM1,0.006360703333333333,2,1.0
AIM2,-0.002342533333333341,2,0.0
AIP,0.05017358500000001,2,0.5
AIPL1,0.018809339999999997,2,1.0
AIRE,-0.009388421666666667,2,0.0
AJAP1,0.006181803333333334,2,0.0
AK1,0.027463854166666666,2,0.5
AK2,-0.0019663649999999994,2,0.0
AK3,-0.022294144999999998,2,0.0
AK3L1,0.010268650000000006,2,0.0
AK5,-0.00047705999999999975,2,0.0
AK7,-0.005419248333333333,2,0.5
AKAP1,0.01963908333333333,2,1.0
AKAP10,0.006551469999999995,2,0.0
AKAP11,0.007805993333333337,2,0.0
AKAP12,0.03613677500000001,2,0.5
AKAP13,0.00087659,2,0.5
AKAP14,0.058249591666666684,2,1.0
AKAP2,-0.001749646666666662,2,0.5
AKAP3,-0.006367150000000006,2,0.0
AKAP4,-0.027628333333333366,1,0.0
AKAP5,0.008458470000000001,1,1.0
AKAP6,0.01592076666666664,1,0.0
AKAP7,0.007052500000000017,1,0.0
AKAP8,0.002412376999999999,2,0.5
AKAP9,0.009932728333333335,2,0.5
AKNA,0.016103433333333344,1,1.0
AKR1A1,0.01237315,1,1.0
AKR1B1,8.58049999999987e-05,2,0.5
AKR1B10,0.0023805849999999746,2,0.0
AKR1C1,-0.05046863333333337,1,1.0
AKR1C2,-0.055177466666666654,1,0.0
AKR1C3,0.009588213333333331,1,0.0
AKR1C4,0.004628929999999992,1,0.0
AKR1D1,-0.026903583333333335,2,0.0
AKR7A3,0.01874703333333332,2,0.0
AKT1,0.0338786,1,0.0
AKT1S1,-0.01058314999999998,2,0.0
AKT2,0.006549590000000001,1,0.0
AKT3,-0.01120093500000002,2,0.0
ALAD,0.010144241666666675,2,0.5
ALAS1,0.021109168333333334,2,0.0
ALAS2,-0.045378466666666645,2,0.0
ALB,0.047512733333333355,1,1.0
ALCAM,0.0071252699999999995,2,0.0
ALDH16A1,0.026508020000000004,1,0.0
ALDH18A1,-0.006695243000000001,2,1.0
