symbol,delta,n_sonden,donorkons
ARL14,0.01790017696697239,3,0.3333333333333333
ARL15,0.016352614050723704,8,0.875
ARL16,-0.04387325731842874,16,0.75
ARL17A,0.017180381634995898,3,1.0
ARL17B,0.016120493042934034,1,1.0
ARL2,0.02638922001779904,5,1.0
ARL2BP,0.016332014128447456,9,0.6666666666666666
ARL3,0.02891874080459395,8,1.0
ARL4A,0.009096470913055101,20,0.55
ARL4C,0.025779066047247667,16,0.6875
ARL4D,0.00910893730569414,10,0.9
ARL5A,0.013738719639662543,12,0.8333333333333334
ARL5B,0.014175118634676206,10,0.5
ARL5C,0.03832965920740345,8,1.0
ARL6,0.02911744534811878,12,0.75
ARL6IP1,0.0030739000262244983,9,0.6666666666666666
ARL6IP4,0.018321737248030746,11,0.9090909090909091
ARL6IP5,0.014058077833964136,8,0.75
ARL6IP6,0.011520747165251612,13,0.6923076923076923
ARL8A,0.01943998482333341,9,0.7777777777777778
ARL8B,0.020920374057182323,8,0.875
ARL9,0.01605431913580085,12,0.5833333333333334
ARMC1,0.03306999925128287,11,0.9090909090909091
ARMC10,0.02045530576062064,12,0.8333333333333334
ARMC2,0.02980758425367028,11,0.9090909090909091
ARMC3,0.02866454868698767,8,0.875
ARMC4,0.016643108491109268,16,0.6875
ARMC5,0.015574183659884252,12,0.8333333333333334
ARMC6,0.018123822485361835,11,0.7272727272727273
ARMC7,0.015449559293766374,9,0.8888888888888888
ARMC8,0.028030724202131596,12,0.9166666666666666
ARMC9,0.020216363913263157,12,0.8333333333333334
ARMCX1,0.03767868348241001,12,0.75
ARMCX2,0.03408759379743365,12,0.9166666666666666
ARMCX3,0.023675241547217164,15,0.8666666666666667
ARMCX4,0.008907767515585415,5,0.2
ARMCX5,0.030072815478233806,14,0.7857142857142857
ARMCX6,0.024764415370271773,8,0.75
ARMS2,0.035461409714515196,6,0.5
ARNT,0.018337964088199647,9,0.7777777777777778
ARNT2,0.00958400748133397,7,0.5714285714285714
ARNTL,0.023087340057027544,21,0.8571428571428571
ARNTL2,0.015085478111548851,4,0.75
ARPC1A,0.013209663581031717,14,0.7857142857142857
ARPC1B,0.017244811661461003,14,0.8571428571428571
ARPC2,0.009327314643730121,15,0.8
ARPC3,0.019899209485904196,8,0.875
ARPC4,0.026771713296444778,18,0.8888888888888888
ARPC5,0.02530438736743227,11,0.8181818181818182
ARPC5L,0.01493798487514445,7,0.8571428571428571
ARPM1,0.02250176834607027,5,0.8
ARPP-21,0.055226973351213966,12,1.0
ARPP19,0.032412409190282425,6,1.0
ARR3,0.03791254177847229,4,1.0
ARRB1,0.028168572840262165,3,0.6666666666666666
ARRB2,0.014037938155935174,11,0.9090909090909091
ARRDC1,0.019627200516950126,5,0.6
ARRDC2,0.011386614306606226,18,0.7777777777777778
ARRDC3,0.023063583248684863,11,0.6363636363636364
ARRDC4,0.021030187839016775,14,0.6428571428571429
ARRDC5,0.038921000151755016,6,1.0
ARSA,0.008965181514896564,11,0.7272727272727273
ARSB,0.03001270733692266,11,0.8181818181818182
ARSD,0.023924948395796404,10,0.8
ARSE,0.017599046111586997,4,0.5
ARSF,0.049758599650756595,9,1.0
ARSG,0.024280440619243764,38,0.7105263157894737
ARSH,0.04998764599205427,4,1.0
ARSI,0.020416766236707413,9,0.4444444444444444
ARSJ,0.022789433348663606,12,0.75
ARSK,0.02374062050288505,14,0.7142857142857143
ART1,0.03286942440749905,7,1.0
ART3,0.027370796264947508,28,0.8571428571428571
ART4,0.0225901138660398,10,0.8
ART5,0.013884433096463311,12,0.5833333333333334
ARTN,0.028612518944850254,21,0.7142857142857143
ARV1,0.021045638552287683,10,0.9
