symbol,delta,n_sonden,donor_konsistent
ADORA2B,-0.09889762833333332,2,1.0
ADORA3,-0.02156036666666669,2,0.0
ADPN,-0.133851095,2,1.0
ADPRH,0.008276902499999995,2,0.0
ADPRHL1,0.014150949999999997,2,0.0
ADPRHL2,0.0037053433333333334,2,0.0
ADRA1A,-0.055475925,2,0.5
ADRA1B,-0.01436118500000001,2,0.5
ADRA1D,0.01577243666666667,2,0.5
ADRA2A,-0.0034396568333333343,2,0.5
ADRA2B,-0.013119516666666671,2,0.5
ADRA2C,-0.016216093333333334,2,0.5
ADRB1,0.010185771666666664,2,0.0
ADRB2,-0.011418369999999999,2,1.0
ADRB3,-0.022999898499999998,2,0.5
ADRBK1,0.013340865000000002,2,1.0
ADRBK2,-0.012783143333333335,2,0.5
ADRM1,0.012124271666666665,2,0.5
ADSL,-0.0018337549999999998,2,0.5
ADSS,-0.010603213333333328,1,0.0
ADSSL1,-0.005930389999999999,2,0.5
AEBP1,-0.0021137483333333457,2,0.5
AER61,-0.0012084100000000005,2,0.0
AES,-0.006842841666666655,2,0.0
AFAP,0.002713061666666664,2,1.0
AFAR3,0.02389373333333334,2,0.5
AFF1,-0.016475503333333332,2,1.0
AFF2,0.05087636333333333,2,0.0
AFF3,-0.010221850000000032,2,0.5
AFF4,0.015495776666666666,2,0.5
AFG3L1,0.0020083366666666666,2,1.0
AFG3L2,0.040244100000000005,1,0.0
AFM,-0.14766176666666664,1,1.0
AFP,-0.086621,1,0.0
AFTIPHILIN,-0.014487798333333333,2,0.5
AGA,-0.05622454166666666,2,0.5
AGBL2,-0.056900099999999995,2,0.5
AGC1,-0.007845645,2,0.5
AGER,0.005450066666666679,2,0.0
AGGF1,-0.027261735,2,0.5
AGL,-0.005225708333333334,2,0.5
AGMAT,0.025576878333333337,2,0.0
AGPAT1,-0.018712006666666666,2,0.5
AGPAT2,0.007035365,2,0.5
AGPAT3,-5.3799999999998706e-06,2,0.0
AGPAT4,0.04411274666666667,1,1.0
AGPAT6,-0.007043589666666666,2,0.5
AGR2,-0.058633883333333345,2,1.0
AGRP,-0.001718383333333314,2,0.5
AGT,-0.011093329999999998,2,0.0
AGTPBP1,-0.0032248033333333336,1,0.0
AGTR1,0.001613593333333334,2,1.0
AGTR2,0.004628166666666729,1,0.0
AGTRAP,0.017933226666666663,2,0.5
AGTRL1,-0.04701081666666664,2,0.5
AGXT,0.010121008333333344,2,0.0
AGXT2,-0.0942522,2,1.0
AGXT2L1,0.0012568680000000002,1,0.0
AHCTF1,-0.09540750000000002,2,1.0
AHCY,-0.016527356666666677,2,0.5
AHCYL1,-0.016935729833333336,2,0.5
AHNAK,-0.07962933,2,0.5
AHR,-0.01882801333333333,2,0.0
AHRR,-0.01673488333333334,2,1.0
AHSA2,0.021963501666666666,2,0.5
AHSG,-0.007754866666666638,2,0.0
AIF1,-0.0005716949999999997,2,0.0
AIFL,-0.004886589999999996,2,1.0
AIG1,0.007792788500000002,2,1.0
AIM1,0.0003297583333333339,2,0.0
AIM2,-0.03371963333333333,2,0.5
AIP,-0.004512244999999996,2,0.5
AIPL1,-0.01784264833333333,2,0.5
AIRE,-0.04318895166666667,2,1.0
AJAP1,0.00720585,2,0.5
AK1,-0.010397845000000003,2,1.0
AK2,-0.004134444999999998,2,0.0
AK3,0.0002802350000000037,2,0.5
AK3L1,-0.0036257366666666646,2,0.5
AK5,0.0005504700000000007,2,0.0
AK7,-0.011689875000000002,2,0.5
AKAP1,0.016458944999999996,2,0.5
AKAP10,-0.030224625000000005,2,1.0
AKAP11,-0.013435380000000004,2,1.0
AKAP12,0.001928028333333335,2,1.0
AKAP13,0.0019145350000000002,2,0.0
AKAP14,0.010905145000000002,2,0.0
AKAP2,-0.007373656666666667,2,0.5
AKAP3,-0.07150498333333338,2,1.0
AKAP4,-0.08241866666666671,1,1.0
AKAP5,0.018070536666666668,1,1.0
AKAP6,-0.08704853333333333,1,1.0
AKAP7,-0.1446120333333333,1,1.0
AKAP8,0.005536302,2,0.0
AKAP9,0.0032157716666666664,2,1.0
AKNA,-0.06208296666666665,1,1.0
AKR1A1,-0.01628286,1,1.0
AKR1B1,0.001963646666666667,2,0.0
AKR1B10,-0.0038832166666666903,2,0.5
AKR1C1,-0.1684450666666667,1,1.0
AKR1C2,-0.13388423333333335,1,1.0
AKR1C3,-0.01943460666666667,1,1.0
AKR1C4,0.007616326666666669,1,0.0
AKR1D1,-0.056867133333333306,2,0.0
AKR7A3,-0.032050250000000016,2,0.5
AKT1,-0.034987896666666664,1,1.0
AKT1S1,-0.006251300000000001,2,0.0
AKT2,0.03923959666666666,1,1.0
AKT3,-0.040464961666666674,2,0.0
ALAD,-0.028416468333333347,2,0.5
ALAS1,-0.007889176666666666,2,0.0
ALAS2,-0.10577873333333332,2,0.5
ALB,-0.043889299999999985,1,0.0
ALCAM,-0.01738517666666667,2,0.5
ALDH16A1,0.00961266666666667,1,0.0
ALDH18A1,0.00856155466666667,2,0.5
ALDH1A1,-0.05128579999999999,1,0.0
ALDH1A2,-0.011780409999999998,2,0.5
ALDH1A3,-0.016276745833333342,4,0.5
ALDH1B1,0.033651074999999996,2,1.0
ALDH1L1,-0.007710145000000002,2,0.5
ALDH2,-0.014699598333333331,2,0.5
ALDH3A1,-0.008121750000000007,2,0.0
ALDH3A2,-0.0015486605000000005,2,0.5
ALDH3B1,-0.014379868333333332,2,1.0
ALDH3B2,-0.047584199999999986,2,0.5
ALDH4A1,-0.023165313333333333,2,1.0
ALDH5A1,0.0052891150000000005,2,0.0
ALDH6A1,-0.005035963333333333,1,1.0
ALDH7A1,-0.008672903333333336,1,0.0
ALDH8A1,0.013131966666666661,1,0.0
ALDH9A1,-0.03761959166666667,2,0.5
ALDOA,0.0030686666666666592,1,0.0
