"symbol","K27_AC_rep1","K27_AC_rep2","K27_hMSC_rep1","K27_hMSC_rep2","K27_OB_rep1","K27_OB_rep2"
"AZI2",2.76814549005667,2.53577443199332,1.3517941169946,1.83494862375625,1.4084575477049,1.48569363507368
"ZCWPW2",2.77223566420408,2.53735495305643,1.35208370131168,1.83638195443897,1.41008524133924,1.48646799679167
"ENSG00000283563",2.76655352185494,2.53515877181972,1.35168144537707,1.834390453033,1.40782406746158,1.48539204569494
"RBMS3",1.20476409990056,1.32259512649564,1.05644699076208,1.28045590818786,0.832204098992607,1.04650180071885
"TGFBR2",3.77667287816436,3.25922051093019,2.47420054243168,3.35618621353325,2.58564240275799,2.48874595321398
"GADL1",1.44895683094034,1.50926667481113,1.34311255363527,1.58639130571918,1.44390565157344,1.54965212020257
"STT3B",2.22908858786396,2.15570242392203,1.4504475283087,1.7896778583099,1.69387766120536,1.73012968109511
"OSBPL10",1.55194720242371,1.56419734495343,1.3550758702143,1.43264976126923,1.9040111253969,1.88696185734956
"ZNF860",2.69412325688937,2.52260467405145,1.80609780916033,2.03929703838748,2.38504197603114,2.36165394067882
"GPD1L",1.65583683798498,1.61378952692476,1.43342004043483,1.44344328263768,1.96280567470798,1.96712020959931
"CMTM8",1.42259189656772,1.51554068448925,1.2592576698662,1.251682936275,1.28667799432933,1.33323918446992
"CMTM7",2.13022689188443,2.01932066921186,1.89414794007415,1.92795295137299,2.06901447392694,1.96278637206123
"CMTM6",2.35132853440967,2.13827271516913,1.83112689066091,2.02786124812891,1.9267092224114,1.87225120799917
"DYNC1LI1",1.94897667620442,1.89369190833242,1.59535821191565,1.82413062397607,1.64074186416308,1.70052336664576
"CNOT10",1.73357941275176,1.75234283093113,1.5403228847481,1.64512020155205,1.56124788166238,1.63935154914659
"TRIM71",1.29044688165418,1.39250791977504,1.39888791939119,1.27051006292073,1.76372269883766,1.78405734482801
"CCR4",1.40115888703886,1.466937400321,1.47771134505517,1.43220113866594,1.62422232781263,1.59306571256327
"GLB1",2.90423719303793,2.7633815460581,2.31631767001762,2.29283948571749,2.69751199571287,2.44951191473505
"TMPPE",2.90466997212365,2.76335984856663,2.31620862530135,2.29322862101646,2.69656008429563,2.4490238650626
"CRTAP",2.73128273128572,2.67352091472517,2.19673041906802,2.1609370492323,2.86192367776619,2.64525128905874
"SUSD5",1.26461905595271,1.42846582429838,1.31234089380411,1.47406210166847,1.78879875464411,1.78624390227521
"FBXL2",1.46065202637337,1.51416902218134,1.41809051578213,1.79012380322551,1.57290278832847,1.56099872989988
"UBP1",2.57961675848679,2.5450542444344,2.04746028351552,2.56056282659856,2.42239485046217,2.29066925672092
"CLASP2",2.10244731689785,2.06128575828551,1.66892060420611,2.09955017720379,1.68297023183302,1.79400252026506
"PDCD6IP",2.43223598495614,2.28159974176432,1.68820356365884,2.17557911764256,1.91789719780554,1.99162157708377
"ARPP21",0.849537752866913,1.19714940692313,0.726011095099046,1.00090525256438,0.593963937807709,0.791359175233609
"STAC",0.943292942002287,1.17551894719103,0.794486614724155,0.966478722394287,0.663558017871383,0.886733020769799
"DCLK3",1.08496997194337,1.23252748956816,1.28704595357635,1.26325836065308,0.933761289985373,1.10545902649274
"TRANK1",2.20746113616972,2.14869339972187,2.06156581109708,2.20126283233711,2.21387325407572,2.11747892909246
"EPM2AIP1",2.42153838766327,2.26450194120651,1.94582157904526,2.2443140348678,2.35099504143647,2.28073555312977
"MLH1",2.42246227587405,2.26532397569835,1.9454245992583,2.24426592320204,2.35146682041908,2.2809076665744
"LRRFIP2",2.57389621019977,2.42044186820612,2.1738197336028,2.5295086365068,2.27341310933281,2.23554202402693
"GOLGA4",2.63730477184684,2.5000560556768,2.06063546848008,2.36019320224986,2.35852727196441,2.24543099986794
"ITGA9",1.22841368100136,1.34972182490152,1.39894369996665,1.38968899306306,1.09107610902268,1.18801964492091
"CTDSPL",1.82657260045397,1.76068777184948,1.95865149919401,2.08562742729949,2.12198173909891,1.97501261980975
"VILL",1.98654318570708,1.87978632461465,2.54708118005681,2.18891694244487,2.74973586242768,2.69672664065882
"PLCD1",1.56950205988088,1.61560593067005,2.15211570273609,1.69919929108166,2.12058581394721,2.20371061259388
"DLEC1",1.46091707934396,1.54789818609739,2.0207017226097,1.65055729873528,1.91368599997085,2.05002238137579
"ACAA1",2.17433585126852,2.09406816422153,2.22113938878515,2.19303780088766,1.96039505912151,2.01629348844423
"MYD88",2.19818751442958,2.11245832954143,2.22530109837746,2.20608564084741,1.97325365338741,2.02110060698259
"OXSR1",2.74583918865821,2.49680014205238,2.31360875471911,2.52493285410048,2.17188501213443,2.15763772835718
"SLC22A13",1.89540852070457,1.88609133910554,1.83119469342028,1.94914780755585,1.57687789983925,1.56644509159251
"SLC22A14",1.691376615479,1.72696718847133,1.76422308178611,1.76508234197797,1.50495360794744,1.53301962969764
"XYLB",1.329499608735,1.43503277158351,1.74012110121544,1.55553255678375,1.34392263328105,1.4305660914998
"ACVR2B",1.30388460096659,1.40608011783037,1.59374416398924,1.46996901334798,1.58370540378032,1.67620370149695
"EXOG",1.61322844076466,1.65573044233451,1.89489950644495,1.8503691198887,1.77300753518207,1.813530386044
"SCN5A",0.913772801454133,1.12407563913875,1.41009865617058,1.1607692454672,0.8937394564833,1.09153290389889
"SCN10A",1.67060168921025,1.79608968068189,1.59900635389033,1.97006212361416,0.986678081608827,1.20378599723175
"SCN11A",1.81922890967027,1.8279194230848,1.40618271845346,1.58753894709721,1.45925557766492,1.63882903909023
"WDR48",1.81777636149831,1.82662927291723,1.40323620754264,1.58719734106314,1.45533489657998,1.63598932973588
"GORASP1",2.42077766670371,2.33117059456868,2.48659269788255,2.58830634364557,2.81911480705424,2.77669367854294
"TTC21A",2.40962893409201,2.32492704913821,2.4715489533799,2.56815971641915,2.8034412455862,2.7598646680811
"CSRNP1",2.56876886018997,2.42385283093894,3.02828082274625,3.08293787394061,3.2655399802537,3.11439510866111
"XIRP1",2.10040067628445,2.13456345984117,2.46397806179905,2.63846424754828,2.46866070308673,2.60268427959501
"CX3CR1",1.10706571621939,1.25429041815543,1.36222833502367,1.28934152444538,1.08367421371722,1.23197176203287
"CCR8",1.02577073845567,1.16838433477706,1.20473702801376,1.27141344727555,0.867450186732025,1.13754992889579
"SLC25A38",1.86783683753991,1.84468616484202,1.6504912977437,1.75404109623912,1.90021017475225,2.00221912616798
"RPSA",2.14723308085153,1.99048956469838,1.73322845903228,1.78397307601366,2.26329124646766,2.25530333804913
"MOBP",1.94680199784947,1.81840537972506,1.47271890290335,1.54889102480393,2.12095677813842,2.09527216581244
"MYRIP",0.808523766243466,1.05926626397956,0.798281698911994,0.988135407918658,0.583877579478008,0.830512178128082
"EIF1B",1.96794261254763,1.95442333656917,1.49324388555354,1.70456302412045,1.65302037520302,1.77749777382432
"ENSG00000291315",1.96220305717045,1.95018799538612,1.49274760684406,1.70677088249658,1.64328565126866,1.76992994269435
"ENTPD3",1.34353421626771,1.40536528630445,1.18576650498962,1.21091887171721,0.912570681782959,1.09723997929667
"RPL14",2.20981595287424,2.16563842794086,1.66630526144301,1.76780895587667,1.731744902957,1.75819273242543
"ZNF619",2.46237207154514,2.43464585963665,1.86007981145072,1.98694465224355,2.09574872853587,1.98065524922078
"ZNF620",2.46256816420286,2.43487853531111,1.86024690099297,1.98714131158396,2.09607622824633,1.980863324632
"ZNF621",2.31337426314083,2.30062078590742,1.74938113085404,1.90584523015444,1.97572692560939,1.90051689088385
"CTNNB1",2.58868273561718,2.35939899256304,1.71250552926451,2.03121747935046,1.74097867223355,1.75094328199335
"ULK4",1.76924206714326,1.77185522150677,1.80089244337502,1.81216879810334,2.01761711844297,2.00369049599623
"TRAK1",2.75958767075915,2.60227144991256,2.56136318014728,3.0091642889496,3.05136333544661,2.84777782832621
"CCK",1.07995803945397,1.22006328248767,1.36854429747227,1.41574829464224,1.08354017095618,1.29582999169617
"LYZL4",0.936845174204674,1.11527974840761,1.22324068224456,1.23210972646705,0.789998638428843,1.0212810792464
"VIPR1",1.00752449420273,1.20579845035553,1.74223912133644,1.36356987429058,1.40785746838918,1.46822164983737
"SEC22C",2.77687610279133,2.55836492370409,2.04956610726269,2.40198968164622,2.36279122603651,2.36465816441536
"SS18L2",2.36973124415604,2.26132479396212,1.99187239748631,2.19367162231451,2.10684869167575,2.12208534547164
"NKTR",2.77290260410018,2.5556319274813,2.04048249071008,2.39516290239332,2.35580627559792,2.35911125603334
"ZBTB47",2.49706935082958,2.38475568766906,2.33862737648781,2.36661151324305,2.31067587775871,2.34930309291771
"KLHL40",1.88560031306539,1.96173553344589,2.25114667239119,2.01247706298371,2.1859211969424,2.22433809856435
"HHATL",1.5939277108685,1.66304755124192,2.13016049838339,1.7432205559877,2.12496500406629,2.10312092790843
"CCDC13",2.64342024972699,2.3997176193975,1.79102255624108,1.77739106602828,2.90910441035297,2.69527655458369
"ENSG00000280571",2.80730149344322,2.53963998821796,1.69389168859326,1.78543808248778,3.00559100876388,2.81204300237387
"HIGD1A",2.80731733626524,2.53974168724551,1.69405365441276,1.78553745873773,3.00591358660339,2.81233711038168
"ACKR2",2.80716909168915,2.53878996833669,1.69253771722876,1.78460714837043,3.00289482234497,2.80958435838671
"ENSG00000273291",2.78254273684633,2.51307262011087,1.665225560035,1.76777390494761,2.953672879675,2.75998305782093
"ENSG00000290317",2.7821777829551,2.51285423199167,1.66500912000742,1.76763995866042,2.95344235167967,2.7595899392913
"CYP8B1",1.54864117197378,1.62858170438745,1.38098027077499,1.2986368832667,2.08353257437177,2.03640607735696
"ZNF662",1.32128209341297,1.39415485980055,1.27541689712642,1.26402990342402,1.52428922066345,1.60110631398396
"KRBOX1",1.37408241923827,1.46231321926528,1.1419546785378,1.23269675010941,1.35404976120364,1.40893746534745
"GASK1A",1.75115897189413,1.73706061948968,1.24813741807426,1.22527005837481,1.83872357285289,1.946962752796
"POMGNT2",1.85544752442904,1.83149582622247,1.56619150173868,1.52504697195524,1.43840636677152,1.54258830726494
"SNRK",1.89521874947849,1.79908646752355,1.4434154203672,1.71347035109973,1.38780031114742,1.4702192083639
