block,dataset,concordance,concordance_null,concordance_null_sd,concordance_z,concordance_p,concordance_detection_limit,above_detection_limit,window,axis,null_model,level,gene_set,run,statistic_z,detection_limit,p_value,panel,class,side,compared_to
gene-set matching,,,,,,,,,,,,,cell cycle (neg. control),P3_loeuf_mit_pub,-2.540669411380977,0.0459087276280471,0.0119940029985008,,,,
gene-set matching,,,,,,,,,,,,,programme (173 genes),P3_loeuf_mit_pub,0.7792564687116538,0.1407354374373254,0.4247876061969015,,,,
gene-set matching,,,,,,,,,,,,,PanelApp 309,P2_dynamik_mit_pub,-0.7073168437738062,0.0725060100454831,0.4467766116941529,,,,
gene-set matching,,,,,,,,,,,,,Nosology (core),P2_dynamik_mit_pub,-0.0600084544140741,0.1095166345229947,0.9795102448775612,,,,
gene-set matching,,,,,,,,,,,,,Nosology (broad),P2_dynamik_mit_pub,-1.1524065424585088,0.0586087907245848,0.2458770614692653,,,,
gene-set matching,,,,,,,,,,,,,short stature,P2_dynamik_mit_pub,-1.000445353273326,0.0410010951962716,0.3308345827086456,,,,
gene-set matching,,,,,,,,,,,,,height GWAS,P2_dynamik_mit_pub,-0.8110630877403608,0.0161414080398246,0.353823088455772,,,,
gene-set matching,,,,,,,,,,,,,cell cycle (neg. control),P2_dynamik_mit_pub,3.7161390826784313,0.0393796374630489,0.000999500249875,,,,
gene-set matching,,,,,,,,,,,,,programme (173 genes),P2_dynamik_mit_pub,18.10291796308096,0.1132359927679806,0.000999500249875,,,,
mechanism classes,,,,,,,,,,,,,,,-2.1518368579388936,2.3982249697098244,9.99950002499875e-05,height GWAS,cilium,,
mechanism classes,,,,,,,,,,,,,,,0.6619758094424368,2.521253498774495,0.6394680265986701,height GWAS,ECM structure,,
mechanism classes,,,,,,,,,,,,,,,2.012599807747109,4.812942577305405,0.2033898305084746,height GWAS,glycosylation / linker,,
mechanism classes,,,,,,,,,,,,,,,-1.1628287240371025,2.409520647041304,0.1299935003249838,height GWAS,lysosome,,
mechanism classes,,,,,,,,,,,,,,,-0.4992134789944001,2.1960280727480144,0.4992750362481876,height GWAS,signalling FGF/WNT/BMP/IHH,,
mechanism classes,,,,,,,,,,,,,,,2.6849630611559574,2.071183916142173,0.0203989800509974,height GWAS,transcription factors,,
mechanism classes,,,,,,,,,,,,,,,-2.600446982552392,2.0595152410127784,0.0005999700014999,height GWAS,vesicle / secretion,,
mechanism classes,,,,,,,,,,,,,,,-0.0028698605136265,1.5928519784213884,0.9235538223088846,height GWAS,_GESAMT,,
mechanism classes,,,,,,,,,,,,,,,-0.5596157403954596,3.193711808234516,0.3494825258737064,short stature,cilium,,
mechanism classes,,,,,,,,,,,,,,,0.1534539231683952,4.070509034792318,0.8408579571021448,short stature,ECM structure,,
mechanism classes,,,,,,,,,,,,,,,3.0406735214778564,6.017492580603551,0.0758962051897405,short stature,glycosylation / linker,,
mechanism classes,,,,,,,,,,,,,,,-1.07907813739683,3.670288297662392,9.99950002499875e-05,short stature,lysosome,,
mechanism classes,,,,,,,,,,,,,,,0.5235856339760852,3.4134278525546087,0.8204589770511475,short stature,signalling FGF/WNT/BMP/IHH,,
mechanism classes,,,,,,,,,,,,,,,-0.0535435737235048,3.793731220041595,0.6944652767361632,short stature,transcription factors,,
mechanism classes,,,,,,,,,,,,,,,-0.5116910577768478,3.251251796820478,0.3770811459427027,short stature,vesicle / secretion,,
mechanism classes,,,,,,,,,,,,,,,-0.7676388831732706,1.859408196400504,0.3599820008999549,short stature,_GESAMT,,
mechanism classes,,,,,,,,,,,,,,,-0.5638745709281594,3.189442311926213,0.3475826208689564,short stature (broad),cilium,,
mechanism classes,,,,,,,,,,,,,,,0.1534539231683952,4.070509034792318,0.8408579571021448,short stature (broad),ECM structure,,
mechanism classes,,,,,,,,,,,,,,,3.0406735214778564,6.017492580603551,0.0758962051897405,short stature (broad),glycosylation / linker,,
mechanism classes,,,,,,,,,,,,,,,-1.07907813739683,3.670288297662392,9.99950002499875e-05,short stature (broad),lysosome,,
mechanism classes,,,,,,,,,,,,,,,0.5161653429356299,3.4078152318606256,0.8253587320633968,short stature (broad),signalling FGF/WNT/BMP/IHH,,
mechanism classes,,,,,,,,,,,,,,,0.8251161186810232,3.705537016417024,0.6169691515424229,short stature (broad),transcription factors,,
mechanism classes,,,,,,,,,,,,,,,-0.5116910577768478,3.251251796820478,0.3770811459427027,short stature (broad),vesicle / secretion,,
mechanism classes,,,,,,,,,,,,,,,-0.5111555143861035,1.8569344880097511,0.5256737163141842,short stature (broad),_GESAMT,,
mechanism classes,,,,,,,,,,,,,,,0.5209327996608083,4.69474401898148,0.8996550172491375,Nosology (core),cilium,,
mechanism classes,,,,,,,,,,,,,,,-0.5904502034608275,5.806705642702065,9.99950002499875e-05,Nosology (core),ECM structure,,
mechanism classes,,,,,,,,,,,,,,,,,,Nosology (core),glycosylation / linker,,
mechanism classes,,,,,,,,,,,,,,,-0.4123141439673801,7.853010537342284,9.99950002499875e-05,Nosology (core),lysosome,,
mechanism classes,,,,,,,,,,,,,,,1.0161307168201292,5.577231273202087,0.6360681965901704,Nosology (core),signalling FGF/WNT/BMP/IHH,,
mechanism classes,,,,,,,,,,,,,,,,,,Nosology (core),transcription factors,,
mechanism classes,,,,,,,,,,,,,,,-0.3062977358947417,10.20033472433706,9.99950002499875e-05,Nosology (core),vesicle / secretion,,
mechanism classes,,,,,,,,,,,,,,,-0.2723474170737532,2.8612034821906454,0.5991700414979251,Nosology (core),_GESAMT,,
mechanism classes,,,,,,,,,,,,,,,-0.7377594640573502,3.0167913089679126,0.2531873406329682,Nosology (broad),cilium,,
mechanism classes,,,,,,,,,,,,,,,0.1746950745205503,4.104121438843546,0.8594570271486426,Nosology (broad),ECM structure,,
mechanism classes,,,,,,,,,,,,,,,3.685897536062377,6.749275858022317,0.0424978751062446,Nosology (broad),glycosylation / linker,,
mechanism classes,,,,,,,,,,,,,,,-0.738868205604686,4.858524123205959,9.99950002499875e-05,Nosology (broad),lysosome,,
mechanism classes,,,,,,,,,,,,,,,-0.2348346848916568,3.5247962838169147,0.5537723113844308,Nosology (broad),signalling FGF/WNT/BMP/IHH,,
mechanism classes,,,,,,,,,,,,,,,0.9038874140442712,5.405555961391921,0.6825658717064147,Nosology (broad),transcription factors,,
mechanism classes,,,,,,,,,,,,,,,-0.5890334588434997,5.818244118577673,9.99950002499875e-05,Nosology (broad),vesicle / secretion,,
mechanism classes,,,,,,,,,,,,,,,0.3297275402000882,2.128957286690892,0.8516574171291436,Nosology (broad),_GESAMT,,
mechanism classes,,,,,,,,,,,,,,,,,,PanelApp 1471,cilium,,
mechanism classes,,,,,,,,,,,,,,,,,,PanelApp 1471,ECM structure,,
mechanism classes,,,,,,,,,,,,,,,,,,PanelApp 1471,glycosylation / linker,,
mechanism classes,,,,,,,,,,,,,,,,,,PanelApp 1471,lysosome,,
mechanism classes,,,,,,,,,,,,,,,,,,PanelApp 1471,signalling FGF/WNT/BMP/IHH,,
mechanism classes,,,,,,,,,,,,,,,,,,PanelApp 1471,transcription factors,,
mechanism classes,,,,,,,,,,,,,,,,,,PanelApp 1471,vesicle / secretion,,
mechanism classes,,,,,,,,,,,,,,,0.0896094095959263,3.969138915249927,0.7944602769861508,PanelApp 1471,_GESAMT,,
mechanism classes,,,,,,,,,,,,,,,-1.2002176400002895,3.410517953806478,9.99950002499875e-05,PanelApp 309,cilium,,
