zone,sample,n_cells,kontrast_module,mde80_module,z_module,p_module,contrast_positive_control,detection_limit_positive_control,z_positive_control,p_positive_control,specimen
ProlifChon,Pcw6.5_Thigh_LowerLimb,52,0.0393038392066955,0.1590814096295477,0.6858840671799367,0.4962751862406879,1.6860122680664062,0.3967172536196054,11.902443816434864,9.99950002499875e-05,Pcw6.5
ProlifChon,Pcw5.4_s1_Thigh_LowerLimb,5,0.0552002415060997,0.1742799513989042,0.8801818254376534,0.359882005899705,1.7029950618743896,0.4368979730503975,10.924734120866678,9.99950002499875e-05,Pcw5.4_s1
ProlifChon,Pcw9.3_s1_Thigh_LowerLimb,6,0.0606972947716712,0.1612575091597632,1.050406240033755,0.2541872906354682,2.1485800743103027,0.4022513061892328,14.948021337597272,9.99950002499875e-05,Pcw9.3_s1
ProlifChon,Pcw9.3_s2_Thigh_LowerLimb,9,0.0613774582743644,0.1574497845260168,1.0879831143644978,0.2285885705714714,2.007699012756348,0.3920364398709983,14.348435677706863,9.99950002499875e-05,Pcw9.3_s2
ProlifChon,Pcw9.0_s1_Thigh_LowerLimb,151,0.0558223836123943,0.1475345895140564,1.0571686649010097,0.2357882105894705,2.136254072189331,0.3653604690536673,16.38269539417828,9.99950002499875e-05,Pcw9.0_s1
ProlifChon,Pcw9.0_s2_Thigh_LowerLimb,170,0.0673862993717193,0.1492857950102426,1.2613781377063784,0.1451927403629818,2.128077507019043,0.3696327749411441,16.126598990552736,9.99950002499875e-05,Pcw9.0_s2
ProlifChon,Pcw6.1_Proximal_UpperLimb,468,0.0734774321317672,0.1706338102547196,1.202369554293731,0.1853907304634768,1.7109473943710327,0.4269432799670345,11.228358783250917,9.99950002499875e-05,Pcw6.1
ProlifChon,Pcw6.1_s1_Middle_UpperLimb,122,0.0648526474833488,0.173017638925525,1.0456144470430195,0.2618869056547173,1.7779935598373413,0.4330941907267842,11.502131329222854,9.99950002499875e-05,Pcw6.1_s1
ProlifChon,Pcw6.1_Distal_UpperLimb,75,0.0926356986165046,0.1712645020297132,1.5105709108220993,0.0886955652217389,1.6485110521316528,0.428781950022802,10.764717683685827,9.99950002499875e-05,Pcw6.1
ProlifChon,Pcw6.1_Proximal_LowerLimb,26,0.0837718322873115,0.1706770934040774,1.3712180074914726,0.1293935303234838,1.806411862373352,0.4272666700673646,11.846286680892494,9.99950002499875e-05,Pcw6.1
ProlifChon,Pcw6.1_s2_Middle_UpperLimb,105,0.0646934434771537,0.1759526908642049,1.02518146191061,0.2761861906904654,1.7381646633148191,0.4394794657450647,11.079740843650823,9.99950002499875e-05,Pcw6.1_s2
ProlifChon,Pcw6.1_Distal_LowerLimb,7,0.0525429025292396,0.1726749263096111,0.8436792100169368,0.3872806359682016,1.638245940208435,0.434490650539638,10.561518071833516,9.99950002499875e-05,Pcw6.1
ProlifChon,Pcw5.6_Middle_UpperLimb,5,0.0645795091986656,0.1760793586888423,1.0202152040824752,0.2832858357082146,1.7014293670654297,0.4396642225032242,10.84201247899644,9.99950002499875e-05,Pcw5.6
ProlifChon,Pcw5.6_Proximal_UpperLimb,25,0.1456015110015869,0.1796484539538921,2.26756424166731,0.0092995350232488,2.0048344135284424,0.4480107612079498,12.53173372755064,9.99950002499875e-05,Pcw5.6
ProlifChon,Pcw5.6_Distal_LowerLimb,13,0.1332646310329437,0.1803681121557811,2.065515763552138,0.0202989850507474,1.8358113765716555,0.4487262829903028,11.455236246507758,9.99950002499875e-05,Pcw5.6
ProlifChon,Pcw5.6_Middle_LowerLimb,14,0.1462830305099487,0.1787748569318895,2.2890853379578315,0.0082995850207489,1.852125883102417,0.446685630061294,11.615888277303176,9.99950002499875e-05,Pcw5.6
PrehyperChon,Pcw8.4_s1_Thigh_LowerLimb,39,0.1332568526268005,0.1845340885550948,2.021838719089069,0.0192990350482475,2.390419244766236,0.4603724015340976,14.542518756090374,9.99950002499875e-05,Pcw8.4_s1
PrehyperChon,Pcw8.4_s2_Thigh_LowerLimb,51,0.1365862935781479,0.1825516450542709,2.0950148830792648,0.0148992550372481,2.326370477676392,0.455937167195477,14.289441469422211,9.99950002499875e-05,Pcw8.4_s2
PrehyperChon,Pcw7.2_s1_Thigh_LowerLimb,48,0.110262706875801,0.1713965354233091,1.800659453128317,0.0362981850907454,2.000305652618408,0.4300483152805266,13.034360024375212,9.99950002499875e-05,Pcw7.2_s1
PrehyperChon,Pcw7.2_s2_Thigh_LowerLimb,40,0.0985659584403038,0.1697026515252579,1.6256546161950238,0.0623968801559922,1.921096682548523,0.424727134568495,12.666596902207438,9.99950002499875e-05,Pcw7.2_s2
PrehyperChon,Pcw9.0_s1_Thigh_LowerLimb,13,0.1405991017818451,0.1936756847792169,2.0324740378366566,0.0185990700464976,2.7774949073791504,0.4796520320749212,16.213465844217815,9.99950002499875e-05,Pcw9.0_s1
PrehyperChon,Pcw9.0_s2_Thigh_LowerLimb,16,0.1183427199721336,0.1857001580384761,1.783433390866914,0.0419979001049947,2.586344957351685,0.4602402869028456,15.736748589191572,9.99950002499875e-05,Pcw9.0_s2
PrehyperChon,Pcw6.1_s1_Middle_UpperLimb,19,0.1267225593328476,0.1818165431388258,1.950101546498072,0.0247987600619969,1.8649412393569944,0.4553579733845956,11.467919230558431,9.99950002499875e-05,Pcw6.1_s1
PrehyperChon,Pcw6.1_s2_Middle_UpperLimb,9,0.1246164739131927,0.1845676946976115,1.889050120384372,0.0299985000749962,1.9955952167510984,0.461207985032869,12.124003601404358,9.99950002499875e-05,Pcw6.1_s2
HyperChon,Pcw9.0_s2_Thigh_LowerLimb,8,0.1491731405258178,0.1738921029686758,2.401472453964082,0.0059997000149992,1.671872615814209,0.4362594866794214,10.746101851012552,9.99950002499875e-05,Pcw9.0_s2
