ebene,dosis,dezil,n,staerke,staerke_min,staerke_max,gerichtet,gerichtet_roh,lo,hi
DNAm GSE33896 osteogen (n=3),iv_kons,3,805,0.1999999999999999,0.125,0.2222222222222223,0.008391028742366758,0.007825664039975373,-0.010512339900563132,0.02866499637768422
DNAm GSE33896 osteogen (n=3),iv_kons,4,804,0.25,0.2222222222222223,0.25,0.004671200317914417,0.0034404708160129015,-0.0161178533428715,0.02526848931939568
DNAm GSE33896 osteogen (n=3),iv_kons,5,804,0.25,0.25,0.3333333333333332,0.01004586226861959,0.009975655309937157,-0.008518032761760278,0.029685589412014476
DNAm GSE33896 osteogen (n=3),iv_kons,6,804,0.375,0.3333333333333332,0.375,0.0013535988389598754,0.0011828705106131001,-0.01845885334642063,0.02219528292274328
DNAm GSE33896 osteogen (n=3),iv_kons,7,805,0.5,0.375,0.875,-0.008525123921445143,-0.0092923711548143,-0.027701445024931746,0.01046924915266761
DNAm GSE33896 myogen (n=3),dWT_kons,0,854,0.1111111111111111,0.0588235294117647,0.125,0.009809995997609464,0.011435146100934098,-0.010091310004087539,0.029142995223666375
DNAm GSE33896 myogen (n=3),dWT_kons,1,854,0.125,0.125,0.125,0.0029863411039791074,0.005126496512265107,-0.017921606078858513,0.02327135810905214
DNAm GSE33896 myogen (n=3),dWT_kons,2,853,0.2222222222222223,0.125,0.25,0.00318918170516537,0.006511229574166982,-0.017475834663789557,0.023290690929752066
DNAm GSE33896 myogen (n=3),dWT_kons,3,854,0.25,0.25,0.25,-0.009945960553388387,-0.0058827064957701625,-0.028782204723686484,0.009512347720208784
DNAm GSE33896 myogen (n=3),dWT_kons,4,853,0.3333333333333332,0.25,0.375,-0.011037621226238099,-0.006132220796483337,-0.030013649559117145,0.00805638620743332
DNAm GSE33896 myogen (n=3),dWT_kons,5,854,0.375,0.375,0.4444444444444444,-0.0015613133805851176,0.004252377875614193,-0.020998095906085406,0.017280663446509352
DNAm GSE33896 myogen (n=3),dWT_kons,6,853,0.5,0.4444444444444444,0.6000000000000001,-0.0019113133253235899,0.00470721533547189,-0.020462323394584557,0.017391693460087655
DNAm GSE33896 myogen (n=3),dWT_kons,7,854,0.625,0.6000000000000001,1.0,-0.0030943231645218666,0.004714506198867278,-0.02289191708944443,0.015414489346773615
DNAm GSE33896 myogen (n=3),iv_kons,0,805,0.0666666666666666,0.0588235294117647,0.125,0.022155131844783054,0.02162689488978551,0.0018645180172170406,0.0421403941921806
DNAm GSE33896 myogen (n=3),iv_kons,1,804,0.125,0.125,0.125,0.012769773726733137,0.012779496520279316,-0.007143996158163001,0.03321154321807221
DNAm GSE33896 myogen (n=3),iv_kons,2,804,0.125,0.125,0.125,0.018603459720684074,0.018527729299033187,-0.0005979075108230585,0.038301348522375635
DNAm GSE33896 myogen (n=3),iv_kons,3,805,0.1999999999999999,0.125,0.2222222222222223,0.012908080168388006,0.012686601759820813,-0.00619728055476665,0.03336106223874079
DNAm GSE33896 myogen (n=3),iv_kons,4,804,0.25,0.2222222222222223,0.25,0.006895703698813965,0.006409454625523684,-0.01260494323440294,0.02779741614357035
DNAm GSE33896 myogen (n=3),iv_kons,5,804,0.25,0.25,0.3333333333333332,-0.0022133347211731463,-0.0022442455784453383,-0.022427352365715674,0.01787195447193233
DNAm GSE33896 myogen (n=3),iv_kons,6,804,0.375,0.3333333333333332,0.375,0.001211767956015027,0.0011405262544160197,-0.017226489506503045,0.021686315274991465
DNAm GSE33896 myogen (n=3),iv_kons,7,805,0.5,0.375,0.875,0.0038528489941897152,0.003546724552013446,-0.015445752488038365,0.022863814489116504
DNAm GSE129266 chondrogen (n=2),dWT_kons,0,1202,0.1111111111111111,0.0588235294117647,0.125,0.003495675095372878,-0.0003241320862613619,-0.01322079489696994,0.019866628123097804
DNAm GSE129266 chondrogen (n=2),dWT_kons,1,1202,0.125,0.125,0.125,0.007244935659212711,0.0027221372083371946,-0.008517357249055613,0.022999343402153552
DNAm GSE129266 chondrogen (n=2),dWT_kons,2,1202,0.1999999999999999,0.125,0.25,-0.003345064090502266,-0.010469907224440932,-0.018776726602283692,0.013267662270293853
DNAm GSE129266 chondrogen (n=2),dWT_kons,3,1202,0.25,0.25,0.25,-0.01333430965340638,-0.022482361444940778,-0.029545368125445073,0.0029515038789223323
DNAm GSE129266 chondrogen (n=2),dWT_kons,4,1202,0.3333333333333332,0.25,0.375,-0.006572779443982034,-0.01723487874706669,-0.02316577894673328,0.010160158890926824
DNAm GSE129266 chondrogen (n=2),dWT_kons,5,1202,0.375,0.375,0.4444444444444444,-0.00660617158125317,-0.019493981166464065,-0.02244894509807647,0.009891721500799812
DNAm GSE129266 chondrogen (n=2),dWT_kons,6,1202,0.5,0.4444444444444444,0.5555555555555556,0.005892730848723716,-0.008828867693938258,-0.010545098959624136,0.022988612417488404
DNAm GSE129266 chondrogen (n=2),dWT_kons,7,1202,0.625,0.5555555555555556,1.0,0.003102978079662987,-0.014462586526097545,-0.012710132329381962,0.019623062074501374
DNAm GSE129266 chondrogen (n=2),iv_kons,0,1132,0.0666666666666666,0.0588235294117647,0.125,0.0048850354501152595,0.005797851739897529,-0.012129393464392166,0.022430741280474592
DNAm GSE129266 chondrogen (n=2),iv_kons,1,1131,0.125,0.125,0.125,0.007458622520943479,0.007431510680397531,-0.009489710710961392,0.024174861142625747
DNAm GSE129266 chondrogen (n=2),iv_kons,2,1131,0.125,0.125,0.125,-0.010753662705823935,-0.010228241976293764,-0.027089023861528633,0.004701662122180432
DNAm GSE129266 chondrogen (n=2),iv_kons,3,1131,0.1999999999999999,0.125,0.2222222222222223,0.00619837933678121,0.006481745647581528,-0.012197569174669565,0.022969367850841763
DNAm GSE129266 chondrogen (n=2),iv_kons,4,1131,0.25,0.2222222222222223,0.25,0.011081396478357576,0.011945504282490943,-0.005025796259506548,0.027858623831286747
DNAm GSE129266 chondrogen (n=2),iv_kons,5,1131,0.25,0.25,0.3333333333333332,-0.010535958539002566,-0.01010651094958667,-0.02664574224805107,0.006165707963752243
DNAm GSE129266 chondrogen (n=2),iv_kons,6,1131,0.375,0.3333333333333332,0.375,0.006086241827942685,0.005951710181193467,-0.010318975442378147,0.02207696208851472
DNAm GSE129266 chondrogen (n=2),iv_kons,7,1132,0.5,0.375,1.0,0.0077752836932607995,0.008864184419644894,-0.008459734396945728,0.02452308091709804
