gse,n_proben,naiver_arm,diff_arm,diagnose,eingriff,urteil,code,begruendung,titel,n_proben_gds,achse
GSE75234,49,False,False,True,False,AUS,A1,kein naiver Arm,The histone H3.3K36M mutation reprograms the epigenome of chondroblastomas,49.0,CCD_CMPD
GSE43692,48,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,"Genome-wide microarray analysis of normal human fibroblasts in response to kaemferol, daidzein, kaemferol/genistein, and daidzein/genistein",48.0,MPS
GSE333317,48,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Adrenal-derived factors drive progression of sclerotic prostate cancer  in bone,48.0,OI
GSE44147,48,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Transcriptomic effects of caloric restriction reflected in primate difference,48.0,FREITEXT_KLEINWUCHS
GSE98460,46,False,False,True,False,AUS,A1,kein naiver Arm,Transcriptional Analysis of Articular Cartilage in Knee Osteoarthritis: Relationship with Obesity,46.0,PSACH_MED
GSE195688,46,True,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Lineage-Specific Differences and Inference of Regulatory Networks Governing Human Chondrocyte Development,46.0,FREITEXT_WACHSTUMSFUGE
GSE219215,42,False,True,True,False,AUS,A1,kein naiver Arm,Human iPSC can be differentiated in vitro to articular cartilage or to osteogenic organoids via the endochondral ossification transdifferentiation pathway,42.0,FREITEXT_WACHSTUMSFUGE
GSE246236,41,False,False,True,False,AUS,A1,kein naiver Arm,Reprograming human fibroblasts into Sertoli cells:  a tool for personalized medicine,41.0,CCD_CMPD
GSE690,40,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,HMF3A_RNAi,40.0,MPS
GSE286565,40,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Recurrent FGFR-alterations are frequent oncogenic drivers and therapeutic targets in pediatric low-grade gliomas [RNA-Seq 2],40.0,FGFR3
GSE237512,39,False,False,True,False,AUS,A1,kein naiver Arm,PI3Kα inhibition blocks osteochondroprogenitor specification and the hyper-inflammatory response to prevent heterotopic ossification,39.0,FOP
GSE41177,38,False,False,False,False,AUS,A2,keine Diagnose als Laesionsachse,Region-specific gene expression profiles in left atria of patients with valvular atrial fibrillation,38.0,FREITEXT_KLEINWUCHS
