symbol,dWT_kons,iv_kons,basis,atac,im_modul,ri
ABI3BP,-0.125,-0.25,0.207375635135239,-0.8585075361903893,False,
ABL1,-0.375,0.0,0.2519366105612075,0.2052487272882599,False,
ABL2,0.0,-0.5,0.0195744146889483,-0.758564409458323,False,
ABLIM1,-0.25,0.5,-0.0542338707311354,-0.55606710924536,False,
ABLIM3,0.625,-0.125,-0.6332121618992534,-0.1721654883400656,False,
ABR,-0.25,-0.125,0.1040189367608805,-0.1403411712596862,False,
ABRACL,-0.4444444444444444,-0.1111111111111111,0.4762278444004775,0.461330355138942,False,
ABT1,-0.2222222222222223,0.1111111111111111,0.259971143077283,-0.4605810306418125,False,
ABTB1,0.375,0.0,-0.2076538940521555,0.7204177925192514,False,
ABTB2,0.1111111111111111,-0.4444444444444444,-0.2069055679244495,0.0163958931776493,False,
ACAA1,0.25,0.125,0.0304578034950518,-0.1994914608488112,False,
ACAA2,0.0,0.125,0.2601466724010685,0.1006405803219241,False,
ACACA,-0.1111111111111111,0.1111111111111111,0.1235889283338819,0.0751201327748916,False,
ACACB,0.625,0.25,-0.8911723622779304,-0.0505081828764621,False,
ACAD11,0.25,-0.125,-0.4613586721984835,-0.5668758201795385,False,
ACAD8,0.0,-0.125,-0.1793795051757959,0.1074676108429093,False,
ACAD9,-0.25,-0.125,0.3366981776584705,-0.0586457923797212,False,
ACADL,0.75,0.125,-0.4414617285681915,0.567298742258446,False,
ACADM,0.0,0.0,-0.4524736000395695,0.0283775351624995,False,
ACADS,0.6666666666666667,0.0,-0.627679890515534,0.7259836643589408,False,
ACADVL,-0.25,-0.125,0.0812132795259826,-0.129228854944688,False,
ACAP1,0.375,-0.125,-0.323065369708824,-0.0481517911115425,False,
ACAP2,0.125,0.125,-0.2482098368501055,0.2681032575576783,False,
ACAP3,-0.375,0.375,0.0638202022657932,0.3822080338099494,False,
ACAT1,-0.5,-0.125,0.3953567687424469,0.0953746804195008,False,
ACAT2,-0.5555555555555556,0.0,0.452458171207708,0.1609451868248472,False,
ACBD3,-0.1111111111111111,0.0,-0.193297620207579,0.1980174397648184,False,
ACBD4,-0.125,0.375,-0.4182707934936625,-0.3098996667323903,False,
ACBD5,0.375,-0.125,-0.475968620135205,-0.1654926893431394,False,
ACBD6,-0.1111111111111111,0.3333333333333332,0.0662112220382725,0.0450073235468324,False,
ACBD7,-0.3333333333333332,0.1111111111111111,-0.0259195273084124,0.2875066951873182,False,
ACCS,0.25,0.0,-0.220195833135729,0.2843718575231051,False,
ACD,-0.25,-0.25,0.716366697764576,0.5758330074380136,False,
ACE,0.0,0.25,0.386522891855652,-0.7985742130643205,False,
ACER2,-0.0588235294117647,-0.1764705882352941,0.110446033331733,0.4359651932495263,False,
ACER3,0.0,-0.125,-0.0828032596233271,0.6959291512855366,False,
ACIN1,0.0,0.0,0.0321014059544275,-0.1672149899157613,False,
ACKR3,0.625,-0.125,-0.9739669382546908,-0.0116784867149357,False,
ACLY,-0.125,0.125,0.2600687254407815,-0.1115831783078804,False,
ACO1,-0.25,-0.125,0.0776484719666505,0.3895602021168414,False,
ACO2,-0.125,0.125,0.1176343439570365,-0.231637179245189,False,
ACOT11,-0.1999999999999999,0.4666666666666665,0.174611235263555,0.4072135887083725,False,
ACOT13,-0.125,0.125,-0.3412532841234095,-1.4206111613069952,False,
ACOT2,0.625,0.125,-0.4705584116119805,0.0688464289276553,False,
ACOT4,0.125,0.25,-0.3334206434738655,0.9794941478747532,False,
ACOT7,-0.375,-0.125,0.5891980692627901,0.2014594955873154,False,
ACOT8,-0.25,0.375,0.3239153922512065,-0.3858200130091984,False,
ACOT9,0.375,-0.625,0.1105394705628876,0.1367351301882462,False,
ACOX2,-0.5,0.5,0.2553355784028355,-0.1053292476431737,False,
ACOX3,0.0,0.0,-0.4075706445095864,-0.0051157782484176,False,
ACP2,0.375,-0.125,-0.123444216361846,-0.2242987949291383,False,
ACP5,-0.3333333333333332,-0.0666666666666666,0.0977023920025231,-1.1992409779245086,False,
ACP6,-0.375,0.25,0.4138905340039415,-0.3461603988514472,False,
ACSF2,-0.25,0.25,0.0765262621243336,-0.8439406634181497,False,
ACSF3,0.25,0.125,-0.1542302781890225,1.0351129861761,False,
ACSL1,0.875,0.125,-0.8973935624365981,0.6461870491368544,True,1.0
ACSL3,0.125,0.0,-0.3138251698436585,-0.3124279146056183,False,
ACSL4,-0.25,0.0,0.19836388974541,0.5879645153840074,False,
ACSL5,0.625,-0.5,-0.0640280915374201,-0.3476223061156864,False,
ACSS1,0.375,0.0,-0.733978983688522,0.6934179644193113,False,
ACSS2,0.125,-0.125,-0.2167048498265655,0.0632484039485024,False,
ACSS3,0.1111111111111111,0.3333333333333332,-0.5082418572059745,-0.4515093935024272,False,
