ensembl,dWT_n,dWT_med,dWT_v,dWT_vz,dWT_kons,iv_n,iv_med,iv_v,iv_vz,iv_kons,basis_med,pool_anteil,symbol,im_modul,ri
ENSG00000184428,16,-0.5703619599599115,13,-1,-0.625,16,0.10150189970651059,9,1,0.125,0.6423257645556415,0.125,TOP1MT,False,
ENSG00000184432,16,-0.8251764395142895,13,-1,-0.625,16,0.36293971143159454,9,1,0.125,0.17412936619830735,0.0625,COPB2,False,
ENSG00000184436,16,-0.1954990603146024,9,-1,-0.125,16,0.4230565249053445,10,1,0.25,-0.1724148491613755,0.1875,THAP7,False,
ENSG00000184445,16,-1.0656441426287504,11,-1,-0.375,16,-0.27465137512971,9,-1,-0.125,0.4550743637553405,0.3125,KNTC1,False,
ENSG00000184451,17,-0.183069487325101,10,-1,-0.17647058823529416,17,0.397552914609025,10,1,0.17647058823529416,0.185967591752889,0.0,CCR10,False,
ENSG00000184465,15,-0.357332932227184,9,-1,-0.19999999999999996,15,-0.0786653670450894,8,-1,-0.06666666666666665,0.0170962476760888,0.3333333333333333,WDR27,False,
ENSG00000184470,16,0.046314094539353395,8,1,0.0,16,-0.0243355135475416,8,1,0.0,0.0434442695544187,0.25,TXNRD2,False,
ENSG00000184481,16,0.2304541196931385,10,1,0.25,16,0.575556811218676,11,1,0.375,-0.32630244323555346,0.375,FOXO4,False,
ENSG00000184500,16,0.948911427250835,12,1,0.5,16,0.275817407868751,10,1,0.25,-0.837322655803574,0.6875,PROS1,False,
ENSG00000184508,16,-0.4928277750230955,10,-1,-0.25,16,-0.1858305941472245,10,-1,-0.25,0.16917029690329646,0.25,HDDC3,False,
ENSG00000184517,16,0.3048599833350315,9,1,0.125,16,-0.07727531109972649,8,1,0.0,-0.4064505972584045,0.4375,ZFP1,False,
ENSG00000184524,17,-0.487593121044477,11,-1,-0.2941176470588236,17,-0.125270043912788,10,-1,-0.17647058823529416,0.309671504297281,0.23529411764705882,CEND1,False,
ENSG00000184557,18,0.043004262616996,9,1,0.0,18,-0.34072151178811,13,-1,-0.4444444444444444,-0.21599174613198802,0.3333333333333333,SOCS3,False,
ENSG00000184575,16,-0.0632865995671585,9,-1,-0.125,16,-0.2595918074677305,9,-1,-0.125,-0.08787930299463895,0.25,XPOT,False,
ENSG00000184588,16,-0.056602307057321444,8,1,0.0,16,-0.2351299104394955,9,-1,-0.125,-0.07834113881933699,0.3125,PDE4B,False,
ENSG00000184602,18,0.02685808849667495,9,1,0.0,18,0.0317394592470953,9,1,0.0,-0.1426518702530945,0.3333333333333333,SNN,False,
ENSG00000184619,18,-0.4885569857454315,11,-1,-0.22222222222222232,18,0.13279634896960252,11,1,0.22222222222222232,-0.0939643504134712,0.2777777777777778,KRBA2,False,
ENSG00000184634,16,0.4579327708319025,11,1,0.375,16,-0.259837459101806,9,-1,-0.125,-0.4071426733534875,0.4375,MED12,False,
ENSG00000184635,16,0.22028416033215298,9,1,0.125,16,0.0925324296270091,9,1,0.125,0.06716316293502345,0.3125,ZNF93,False,
